MA_VALUE,DESCRIPTION,BASE_UOM,MA_SOURCE,BASE_CONV_FACTOR,BASE_TO_UNIT,BASE_QUANTITY,DATE_IMPORTED,ACTIVE
RF9496,18/1 POLY COTTON,g,RDL,,,,2025-02-18,1
RFB05L,2100 DECITEX NYLON 6,g,RDL,,,,2025-02-18,1
RFBL01WM,7X19X20+1X15HT,g,RDL,,,,2025-02-18,1
RFC17GAZ,Fiberglass 3300/1 1.5 TPI Z SA,g,RDL,,,,2025-02-18,1
RFCH,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RFE09A,ARAMID 1670 dtex,g,RDL,,,,2025-02-18,1
RFF07Q,1440 DECITEX AA-HMLS POLYESTER,g,RDL,,,,2025-02-18,1
RFFA01WY,2+2x.22UT,g,RDL,,,,2025-02-18,1
RFFC01FR,3x.21/9x.185 UT,g,RDL,,,,2025-02-18,1
RFFP,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RFJ35ZS,4000/0/1 CARBON FIBER 60 TPM S-TWIST SED,g,RDL,,,,2025-02-18,1
RFJOAX_FDC,FLAKE CAUSTIC SODA,g,RDL,,,,2025-02-18,1
RFKC15JR,"NYLON 6,6 4400/0/1 MONOFILAMENT 15EPI JR",g,RDL,,,,2025-02-18,1
RFLC16SD,"NYLON, N6, 940/1/2, 12.0/12.0, 16.00 EPI, SD",g,RDL,,,,2025-02-18,1
RFLH23MA,"NYLON, N6, 1400/1/3, 8.0/8.0, 23.00 EPI, MA",g,RDL,,,,2025-02-18,1
RFLV19JA,NYLON 6 2100/1/2 6 X 8 TPI 19EPI JA,g,RDL,,,,2025-02-18,1
RFM14LP19JA,NYLON 6 2100/1/2 8 X 8 TPI 19EPI JA,g,RDL,,,,2025-02-18,1
RFNC16KR,UTICA 840/2 12X12 16EPI NYLON66 D5A,g,RDL,,,,2025-02-18,1
RFNJ27JF,"NYLON 6,6  940/1/2 10 X 12 TPI 27EPI JF",g,RDL,,,,2025-02-18,1
RFNT26QA,"NYLON, N6.6 MONOFILAMENT, 950/1, 26.00 EPI, QA",g,RDL,,,,2025-02-18,1
RFNT30UA,"NYLON, N6.6 MONOFILAMENT, 950/1, 30.00 EPI, UA",g,RDL,,,,2025-02-18,1
RFP01L,2100 DECITEX  NYLON 6,g,RDL,,,,2025-02-18,1
RFQ09R,Rayon 1220 dtex,g,RDL,,,,2025-02-18,1
RFQC32PF,"PET, HMLS AA, 1100/1/2, 12.0/12.0, 32.00 EPI, PF",g,RDL,,,,2025-02-18,1
RFQU26PF,"PET, HMLS AA, 1440/1/2, 9.0/9.0, 26.00 EPI, PF",g,RDL,,,,2025-02-18,1
RFQV28,AA HMLS POLYESTER 1670/1/2 8.5x8.5 TPI 28EPI,g,RDL,,,,2025-02-18,1
RFRW31SH,"RAYON, HWM, 1220/1/2, 12.3/12.3, 31.00 EPI, SH",g,RDL,,,,2025-02-18,1
RFS01Q,1100 DECITEX AA HMLS POLYESTER,g,RDL,,,,2025-02-18,1
RFS03N,"2100 DECITEX NYLON 6,6",g,RDL,,,,2025-02-18,1
RFTEST1,Bhaskar test,g,RDL,,,,2025-02-18,1
RFTQ26HF,"PET, HMLS NAA, 1440/1/3, 8.5/8.5, 26.00 EPI, HF",g,RDL,,,,2025-02-18,1
RFU07L,1400 Decitex NYLON 6,g,RDL,,,,2025-02-18,1
RFZ01NG30GA,"1400 DECITEX NYLON 6,6",g,RDL,,,,2025-02-18,1
RFZ02BI30GF,"NYLON 6,6 940/1 0X4.6S TPI 30EPI GF",g,RDL,,,,2025-02-18,1
RFN00001,Material description,g,RDL,,,,2025-02-18,1
RFS00004,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RF0040084,AA HMLS POLYESTER 1670/1/2 8.5x8.5 TPI 28EPI,g,RDL,,,,2025-02-18,1
RF0040253,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RFGL2060,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RF0040652,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RFS00047,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RF0041582,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RF0041590,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RF0041619,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RF0041817,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RF0041826,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RF0043059,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RFS00090,1X.21/18X.185 UT,g,RDL,,,,2025-02-18,1
RF0044389,"NYLON, N6.6 MONOFILAMENT, 950/1, 26.00 EPI, QA",g,RDL,,,,2025-02-18,1
RF0045664,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
RF0046962,"RAYON, HWM, 1220/1/2, 12.3/12.3, 31.00 EPI, SH",g,RDL,,,,2025-02-18,1
RFW00044,0.072 HT BEADWIRE BRONZE PLATED 1.83 MM,g,RDL,,,,2025-02-18,1
