SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IP_VERSION,IP_SHORT_DESC,IC_ORDER
RFS01Q,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HSP-40,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,BEKAERT,ROGERS,,,BB01FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFS03N,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HND-20,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFTQ26HF,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,TQ26HF,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
