SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,IIVALUE
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,GPS Full Supplier Approval Review,7,,mlePlantMatProh,,,Topeka
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,GPS Full Supplier Approval Review,7,NA,cbRegionNA,,,1
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,GPS Full Supplier Approval Review,7,SOS Appr. Reg. for Layout,efSOSApprovalReg,,,NA
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,GPS Full Supplier Approval Review,7,Full Approval Prefix Code (hidden),efFullAppCode,,,
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,,mlePlantMatProh,,,
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,NA,cbRegionNA,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,LA,cbRegionLA,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,EMEA,cbRegionEMEA,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,AP,cbRegionAP,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,SOS Appr. Reg. for Layout,efSOSApprovalReg,,,"AP, EMEA, LA, NA"
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,GPS Full Supplier Approval Review,7,Full Approval Prefix Code (hidden),efFullAppCode,,,
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,,mlePlantMatProh,,,
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,NA,cbRegionNA,,,1
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,LA,cbRegionLA,,,1
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,EMEA,cbRegionEMEA,,,1
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,AP,cbRegionAP,,,1
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,SOS Appr. Reg. for Layout,efSOSApprovalReg,,,"AP, EMEA, LA, NA"
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,GPS Full Supplier Approval Review,7,Full Approval Prefix Code (hidden),efFullAppCode,,,
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,GPS Full Supplier Approval Review,7,,mlePlantMatProh,,,
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,GPS Full Supplier Approval Review,7,NA,cbRegionNA,,,1
