SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,IIVALUE
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Reason for Program,mleReasProg,,,FLEXIBILITY
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Program Type,ddlProgramType,,,New Source
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Requested By,cbReqBy,,, 
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Assigned To,mleAssignedTo,,,Jim Kish
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,NA,cbRegionNA,,,1
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,LA,cbRegionLA,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,EMEA,cbRegionEMEA,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Cooper Americas,cbRegionCooperNA,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,AP,cbRegionAP,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Cooper EMEA,cbRegionCooperEMEA,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Cooper AP,cbRegionCooperAP,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Proposed Plant for Trial,cbProposedPlant,,,Topeka
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Akron,cbLabAkron,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Lux,cbLabLux,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,Kunshan,cbLabKunshan,,,0
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,EHS Approval Region (hidden),efEHSApprovalReg,,,
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,SAP Status,ddlSAPStatusDesc,,,See base specification
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Program Info,,,ieSAPStatusCode,,,ZZ
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Reason for Program,mleReasProg,,,cost savings
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Program Type,ddlProgramType,,,New Source
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Requested By,cbReqBy,,, 
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Assigned To,mleAssignedTo,,,Srinivas Iyer
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,NA,cbRegionNA,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,LA,cbRegionLA,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,EMEA,cbRegionEMEA,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Cooper Americas,cbRegionCooperNA,,,0
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,AP,cbRegionAP,,,1
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Cooper EMEA,cbRegionCooperEMEA,,,0
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Cooper AP,cbRegionCooperAP,,,0
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Program Info,,Proposed Plant for Trial,cbProposedPlant,,,Danville
