SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,IIVALUE
RFP01L,1,,,,,,,Reinforcement General Information,,Material Class,ieMaterialClass,,,YARN
RFP01L,1,,,,,,,Reinforcement General Information,,Material Subclass,ieMaterialSubclass,,,NYLON 6
RFP01L,1,,,,,,,Reinforcement General Information,,Material Code,cbMaterialCode,,,RFP01L
RFP01L,1,,,,,,,Reinforcement General Information,,SAP Material Type,cbGBSMatType,,,
RFP01L,1,,,,,,,Reinforcement General Information,,SAP Secondary Material Type,cbGBSMatSecType,,,
RFP01L,1,,,,,,,Reinforcement General Information,,SAP Type of Component,cbGBSTypeComp,,,
RFP01L,1,,,,,,,Reinforcement General Information,,Initial Exp Spec Code (hidden),ieInitialExpSpCode,,,
RFP01L,1,,,,,,,Reinforcement General Information,,,ieSAPStatusCode,,,Y1
RFP01L,1,,,,,,,Reinforcement General Information,,SAP Status,ddlSAPStatusDesc,,,Active (Non Development line-up)
RFP01L,1,,,,,,,Reinforcement - Basic,2,Construction Code - Fabric,cbConCodeFabric,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Construction Code - Square Woven,cbConCodeSqWov,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Construction Code - Wire/Cable,cbConCodeWirCab,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Processing Code,cbFabricProcCode,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Cord Density Code,cbCordDensCode,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,EPI,cbEPI,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Fill Cord (Type),ddlFillCord,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Linear Fill Cord Weight (DEN),efLinCorWt,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Picks per Meter,efPicksPerMeter,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,SAP/SOS Description,efSAPSOSDesc,,,2100 DECITEX  NYLON 6
RFP01L,1,,,,,,,Reinforcement - Basic,2,Update Spec Description (hidden),ieSAPSpecDesc,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Cable Bead Inside Diameter (mm),efCBInsideDia,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Cable Bead Comp. Weight (kg),efCBCompWeight,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Cable Bead Gauge (mm),efCBGauge,,,
RFP01L,1,,,,,,,Reinforcement - Basic,2,Cable Bead Coating,ddlCBCoating,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Initial Exp Spec Code (hidden),ieInitialExpSpCode,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Material Code,cbMaterialCode,,,RFP01L
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Material Description,ieMatDescSupplier,,,2100 DECITEX  NYLON 6
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier,ieSupplier,,,GRODNO KHIMVOLOKNO
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent,ieAgent,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Plant,ieSupplierPlant,,,GRODNO
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Plant,ieAgentPlant,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Plant - City,ieSupplierPlantLocationCity,,,Grodno
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Plant - City,ieAgentPlantLocationCity,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Plant - State,ieSupplierPlantLocationState,,,Others
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Plant - State,ieAgentPlantLocationState,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Plant - Country,ieAgentPlantLocationCountry,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Plant - Country,ieSupplierPlantLocationCountry,,,Belarus
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Plant Code,ieSISPlantCode,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Plant Code,ieAgentPlantCode,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Trade Name,ieSupplierTradeName,,,POLYAMIDE STABILIZED
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent to Break Bulk?,cbBreakBulk,,,0
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Contact Name,ieSupplierContactName,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Contact Name,ieAgentContactName,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Contact Type,ddlSupType,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Contact Type,ddlAgentType,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier email,ieSupplierEmail,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent email,ieAgentEmail,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Supplier Phone,ieSupplierPhone,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,Supplier/Agent Info,,Agent Phone,ieAgentPhone,,,
RFNT26QA,1,,,,,,,Reinforcement General Information,,Material Class,ieMaterialClass,,,FABRIC
RFNT26QA,1,,,,,,,Reinforcement General Information,,Material Subclass,ieMaterialSubclass,,,"NYLON 6,6 MONOFILAMENT"
RFNT26QA,1,,,,,,,Reinforcement General Information,,Material Code,cbMaterialCode,,,RFNT26QA
RFNT26QA,1,,,,,,,Reinforcement General Information,,SAP Material Type,cbGBSMatType,,,FABR
RFNT26QA,1,,,,,,,Reinforcement General Information,,SAP Secondary Material Type,cbGBSMatSecType,,,FABR
RFNT26QA,1,,,,,,,Reinforcement General Information,,SAP Type of Component,cbGBSTypeComp,,,"NYLON 6,6"
RFNT26QA,1,,,,,,,Reinforcement General Information,,Initial Exp Spec Code (hidden),ieInitialExpSpCode,,,
RFNT26QA,1,,,,,,,Reinforcement General Information,,,ieSAPStatusCode,,,Y1
RFNT26QA,1,,,,,,,Reinforcement General Information,,SAP Status,ddlSAPStatusDesc,,,Active (Non Development line-up)
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Construction Code - Fabric,cbConCodeFabric,,,NT
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Construction Code - Square Woven,cbConCodeSqWov,,,
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Construction Code - Wire/Cable,cbConCodeWirCab,,,
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Processing Code,cbFabricProcCode,,,QA
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Cord Density Code,cbCordDensCode,,,26
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,EPI,cbEPI,,,26.0
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Fill Cord (Type),ddlFillCord,,,Non Extensible
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Linear Fill Cord Weight (DEN),efLinCorWt,,,221
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Picks per Meter,efPicksPerMeter,,,59
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,SAP/SOS Description,efSAPSOSDesc,,,"NYLON, N6.6 MONOFILAMENT, 950/1, 26.00 EPI, QA"
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Update Spec Description (hidden),ieSAPSpecDesc,,,
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Cable Bead Inside Diameter (mm),efCBInsideDia,,,
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Cable Bead Comp. Weight (kg),efCBCompWeight,,,
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Cable Bead Gauge (mm),efCBGauge,,,
RFNT26QA,1,,,,,,,Reinforcement - Basic,2,Cable Bead Coating,ddlCBCoating,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Initial Exp Spec Code (hidden),ieInitialExpSpCode,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Material Code,cbMaterialCode,,,RFNT26QA
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Material Description,ieMatDescSupplier,,,"NYLON, N6.6 MONOFILAMENT, 950/1, 26.00 EPI, QA"
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier,ieSupplier,,,HYOSUNG CORPORATION
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent,ieAgent,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Plant,ieSupplierPlant,,,DECATUR
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Plant,ieAgentPlant,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Plant - City,ieSupplierPlantLocationCity,,,Decatur
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Plant - City,ieAgentPlantLocationCity,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Plant - State,ieSupplierPlantLocationState,,,AL
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Plant - State,ieAgentPlantLocationState,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Plant - Country,ieAgentPlantLocationCountry,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Plant - Country,ieSupplierPlantLocationCountry,,,USA
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Plant Code,ieSISPlantCode,,,AIT
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Plant Code,ieAgentPlantCode,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Trade Name,ieSupplierTradeName,,,720NT26QA
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent to Break Bulk?,cbBreakBulk,,,0
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Contact Name,ieSupplierContactName,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Contact Name,ieAgentContactName,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Contact Type,ddlSupType,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Contact Type,ddlAgentType,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier email,ieSupplierEmail,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent email,ieAgentEmail,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Supplier Phone,ieSupplierPhone,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,Supplier/Agent Info,,Agent Phone,ieAgentPhone,,,
RFJ35ZS,1,,,,,,,Reinforcement General Information,,Material Class,ieMaterialClass,,,Single End Dipped Cord
RFJ35ZS,1,,,,,,,Reinforcement General Information,,Material Subclass,ieMaterialSubclass,,,CARBON FIBER
RFJ35ZS,1,,,,,,,Reinforcement General Information,,Material Code,cbMaterialCode,,,RFJ35ZS
RFJ35ZS,1,,,,,,,Reinforcement General Information,,SAP Material Type,cbGBSMatType,,,FABR
RFJ35ZS,1,,,,,,,Reinforcement General Information,,SAP Secondary Material Type,cbGBSMatSecType,,,FABR
RFJ35ZS,1,,,,,,,Reinforcement General Information,,SAP Type of Component,cbGBSTypeComp,,,SINGLE END CORD
RFJ35ZS,1,,,,,,,Reinforcement General Information,,Initial Exp Spec Code (hidden),ieInitialExpSpCode,,,
RFJ35ZS,1,,,,,,,Reinforcement General Information,,,ieSAPStatusCode,,,Y1
RFJ35ZS,1,,,,,,,Reinforcement General Information,,SAP Status,ddlSAPStatusDesc,,,Active (Non Development line-up)
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Construction Code - Fabric,cbConCodeFabric,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Construction Code - Square Woven,cbConCodeSqWov,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Construction Code - Wire/Cable,cbConCodeWirCab,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Processing Code,cbFabricProcCode,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Cord Density Code,cbCordDensCode,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,EPI,cbEPI,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Fill Cord (Type),ddlFillCord,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Linear Fill Cord Weight (DEN),efLinCorWt,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Picks per Meter,efPicksPerMeter,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,SAP/SOS Description,efSAPSOSDesc,,,4000/0/1 CARBON FIBER 60 TPM S-TWIST SED
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Update Spec Description (hidden),ieSAPSpecDesc,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Cable Bead Inside Diameter (mm),efCBInsideDia,,,
RFJ35ZS,1,,,,,,,Reinforcement - Basic,2,Cable Bead Comp. Weight (kg),efCBCompWeight,,,
