MATERIAL_CODE_ID,CONSTRUCTION_CODE_FABRIC,CONSTRUCTION_CODE_SQUARE_OVEN,CONSTRUCTION_CODE_WIRE_CABLE,SAP_SOS_DESCRIPTION,PGM_ID
5,VC28HA,VC28HA,VC28HA,"HMLS POLYESTER / NYLON 6,6 1100/1/2 12X12 28EPI HA",13161
8,US,US,US,3+2x.35 ST,130314
8,US,US,US,3+2x.35 ST,12969
8,US,US,US,3+2x.35 ST,141105
8,US,US,US,3+2x.35 ST,141106
8,US,US,US,3+2x.35 ST,137875
8,US,US,US,3+2x.35 ST,30569
8,US,US,US,3+2x.35 ST,43290
8,US,US,US,3+2x.35 ST,30572
8,US,US,US,3+2x.35 ST,115470
8,US,US,US,3+2x.35 ST,86015
8,US,US,US,3+2x.35 ST,44462
8,US,US,US,3+2x.35 ST,30568
8,US,US,US,3+2x.35 ST,59719
8,US,US,US,3+2x.35 ST,59720
8,US,US,US,3+2x.35 ST,30571
8,US,US,US,3+2x.35 ST,51741
8,US,US,US,3+2x.35 ST,24326
8,US,US,US,3+2x.35 ST,21495
8,US,US,US,3+2x.35 ST,25298
8,US,US,US,3+2x.35 ST,25297
8,US,US,US,3+2x.35 ST,20256
8,US,US,US,3+2x.35 ST,21637
8,US,US,US,3+2x.35 ST,30570
8,US,US,US,3+2x.35 ST,15294
8,US,US,US,3+2x.35 ST,16506
8,US,US,US,3+2x.35 ST,13679
8,US,US,US,3+2x.35 ST,13700
8,US,US,US,3+2x.35 ST,13951
8,US,US,US,3+2x.35 ST,13914
8,US,US,US,3+2x.35 ST,13915
8,US,US,US,3+2x.35 ST,14298
8,US,US,US,3+2x.35 ST,4381
8,US,US,US,3+2x.35 ST,12970
8,US,US,US,3+2x.35 ST,91169
12,TH28HA,TH28HA,TH28HA,HMLS POLYESTER  1100/1/2 10 X 10 TPI 28EPI HA,7227
26,TC32HF,TC32HF,TC32HF,HMLS POLYESTER 1100/1/2 12X12 TPI 32EPI HF,24403
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,26516
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,13118
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,35275
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,60876
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,42926
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,47817
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,26517
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,60743
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,26602
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,19106
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,24532
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,23126
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,23589
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,23775
27,TC28HF,TC28HF,TC28HF,HMLS POLYESTER  1100/1/2 12x12 TPI 28EPI HF,25018
