MATERIAL_CODE_ID,MATERIAL_CODE,CLASS,SUBCLASS,MATERIAL_DESC,SAP_STATUS,GBS_MATERIAL_TYPE,GBS_SECONDARY_MATERIAL_TYPE,GBS_COMPONENT_TYPE,STAINING,SAP_TYPE_OF_COMPONENT,MATERIAL_FORM,INITIAL_INSPECTION_CODE,PGM_ID
5,VC28HA,FABRIC,"POLYESTER - HMLS / NYLON 6,6","HMLS POLYESTER / NYLON 6,6 1100/1/2 12X12 28EPI HA",N,FABR,FABR,FABR,N,FABR, ,VC28HA,13161
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,130314
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,12969
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,141105
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,141106
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,137875
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,30569
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,43290
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,30572
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,115470
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,86015
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,44462
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,30568
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,59719
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,59720
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,30571
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,51741
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,24326
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,21495
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,25298
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,25297
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,20256
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,21637
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,30570
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,15294
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,16506
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,13679
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,13700
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,13951
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,13914
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,13915
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,14298
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,4381
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,12970
8,US,WIRE,STEEL CORD,3+2x.35 ST,Y,WIRE,WIRE,BELT,N,BELT, ,US,91169
12,TH28HA,FABRIC,POLYESTER - HMLS,HMLS POLYESTER  1100/1/2 10 X 10 TPI 28EPI HA,Y,FABR,FABR,POLYESTER-LO SHRINK/HI MODULUS,,POLYESTER-LO SHRINK/HI MODULUS,,TH28HA,7227
