MATERIAL_CODE,MATERIAL_DESC
RFNDX,"940/1 DECITEX NYLON 6,6 WOVEN 75X75 E/DM"
RFNC26UA,"NYLON 6,6 940/1/2 12X12 TPI 26EPI UA"
RFNC26JA,"NYLON 6,6 940/1/2 12X12 TPI 26EPI JA"
RF,"470/1 DECITEX NYLON 6,6 WOVEN 24X24"
RFN3,"LUTRABOND 3020, NYLON 6,6"
RFN1,"1010 DECITEX NYLON 6,6 WOVEN 50X50 E/DM"
RFN08T,1440 DECITEX HMLS POLYESTER
RFN06T,1100 DECITEX HMLS POLYESTER
RFN05L,940 DECITEX NYLON 6
RFN04L,1400 DECITEX NYLON 6
RFN03N,"2100 DECITEX NYLON 6,6"
RFN02N,"940 DECITEX NYLON 6,6"
RFN01N,"1400 DECITEX NYLON 6,6"
RFW04N,"940 DECITEX NYLON 6,6"
RFW03N,"1400 DECITEX NYLON 6,6"
RFRN25SG,RAYON 1840/1/3 9.1X9.1 TPI 25EPI SG
RFRN,1840/3 DECITEX RAYON WOVEN 71X71 E/DM
RFRM23SG,RAYON 1840/1/2 9X9TPI 23EPI SG
RFRD30SG,RAYON 1840/1/2 12X12 TPI 30EPI SG
RFRD26,RAYON 1840/1/2 12X12 TPI 26EPI
RFR09N,"2100 DECITEX NYLON 6,6"
RFR08N,"1400 DECITEX NYLON 6,6"
RFR07N,"940 DECITEX NYLON 6,6"
RFQT25PF,AA HMLS 1100/1/2  6.5X6.5TPI 25EPI PF
RFQP35PF,AA HMLS 1100/1/2  10X12TPI 35EPI PF
RFQP32PF,AA HMLS 1100/1/2  10X12TPI 32EPI PF
RFQP29PF,AA HMLS POLYESTER 1100/1/2 10 X 12 TPI 29EPI PF
RFQP28PF,AA HMLS POLYESTER 1100/1/2 10X12 TPI 28EPI PF
RFQN28PF,AA HMLS 1440/1/2  7X9TPI  28EPI PF
RFQ07N,"1400 DECITEX NYLON 6,6"
RFQ06L,2100 DECITEX NYLON 6
RFQ05L,1400 DECITEX NYLON 6
RFQ04L,940 DECITEX NYLON 6
RFP02L,1400 DECITEX NYLON 6
RFP01L,2100 DECITEX  NYLON 6
RFNV26JF,"NYLON 6,6  2100/1/2 6 X 8 TPI 26EPI JF"
RFNV26JA,"NYLON 6,6  2100/1/2 6 X 8 TPI 26EPI JA"
RFNV23JF,"NYLON 6,6  2100/1/2 6 X 8 TPI 23EPI JF"
RFNV19JF,"NYLON 6,6  2100/1/2 6 X 8 TPI 19EPI JF"
RFNP26GA,"NYLON 6,6 2100/1/2 8X8 TPI 26EPI GA"
RFNP26,"NYLON 6,6 2100/1/2 8x8 TPI 26EPI"
RFNP22GA,"NYLON 6,6 2100/1/2 8X8 TPI 22EPI GA"
RFNJ30GF,"NYLON 6,6 940/1/2 10X12TPI 30EPI GF"
RFJF18,"NYLON 6,6  1400/1/2 10 X 10 TPI 18EPI"
RFJ36ZZ,4000/0/1 CARBON FIBER 60 TPM Z-TWIST SED
RFJ36ZS,4000/0/1 CARBON FIBER 60 TPM S-TWIST SED
RFJ35ZZ,4000/0/1 CARBON FIBER 60 TPM Z-TWIST SED
RFJ35ZS,4000/0/1 CARBON FIBER 60 TPM S-TWIST SED
RFJ18L,1400 DECITEX NYLON 6
RFJ03N,"1400 DECITEX NYLON 6,6"
RFJ01T,1100 DECITEX HMLS POLYESTER
RFI35CD,5'S/1 SQUARE WOVEN (34X32 EPI)
RFI15L,940 DECITEX NYLON 6
RFI14R,2440 DECITEX RAYON
RFI14L,1880 DECITEX NYLON 6
RFI11L,1400 DECITEX NYLON 6
RFI10L,940 DECITEX NYLON 6
RFI09L,1400 DECITEX NYLON 6
RFI08L,1400 DECITEX NYLON 6
RFI07L,1400 DECITEX NYLON 6
RFI06R,1840 DECITEX RAYON
RFI06L,1400 DECITEX NYLON 6
RFI03L,940 DECITEX NYLON 6
RFI02L,1400 DECITEX NYLON 6
RF730N,"940 DECITEX NYLON 6,6 (MONOFILAMENT)"
RFV02L,1400 DECITEX NYLON 6
RFV01L,940 DECITEX NYLON 6
RFTB28HF,HMLS POLYESTER 1100/1/3 8.5 X 8.5 TPI 28EPI HF
RFZ09N,"1400 DECITEX NYLON 6,6"
RFZ07N,"940 DECITEX NYLON 6,6"
RFZ06Q,1440 DECITEX AA-HMLS POLYESTER
RFZ05Q,1100 DECITEX AA_HMLS POLYESTER
RFZ04T,1100 DECITEX HMLS POLYESTER
RFZ03N,"2100 DECITEX NYLON 6,6"
RFZ02N,"940 DECITEX NYLON 6,6"
RFZ01N,"1400 DECITEX NYLON 6,6"
