,PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
0,281,161,90,MSDS,MSDS Requirement,MSDS,
1,281,161,91,TSCA,TSCA Certificate,TSCA,
2,281,161,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
3,281,161,109,CEPA,Canadian Environmental Protection Act,,
4,281,161,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
5,281,161,111,ELINCS,European REACH,CEPAN,
6,281,161,112,AICS,Australian Inventory of chemical Substances,ELINCS,
7,281,161,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
8,281,161,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
9,281,161,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
10,281,161,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
11,281,161,117,NZTSD,New Zealand Toxic Substances Database,,
12,806,206,90,MSDS,MSDS Requirement,MSDS,
13,806,206,91,TSCA,TSCA Certificate,TSCA,
14,806,206,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
15,806,206,109,CEPA,Canadian Environmental Protection Act,,
16,806,206,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
17,806,206,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
18,806,206,112,AICS,Australian Inventory of chemical Substances,ELINCS,
19,806,206,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
20,806,206,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
21,806,206,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
22,806,206,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
23,806,206,117,NZTSD,New Zealand Toxic Substances Database,,
24,562,121,90,MSDS,MSDS Requirement,MSDS,
25,562,121,91,TSCA,TSCA Certificate,TSCA,
26,562,121,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
27,562,121,109,CEPA,Canadian Environmental Protection Act,,
28,562,121,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
29,562,121,111,ELINCS,European REACH,CEPAN,
30,562,121,112,AICS,Australian Inventory of chemical Substances,ELINCS,
31,562,121,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
32,562,121,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
33,562,121,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
34,562,121,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
35,562,121,117,NZTSD,New Zealand Toxic Substances Database,,
36,585,122,90,MSDS,MSDS Requirement,MSDS,
37,585,122,91,TSCA,TSCA Certificate,TSCA,
38,585,122,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
39,585,122,109,CEPA,Canadian Environmental Protection Act,,
40,585,122,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
41,585,122,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
42,585,122,112,AICS,Australian Inventory of chemical Substances,ELINCS,
43,585,122,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
44,585,122,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
45,585,122,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
46,585,122,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
47,585,122,117,NZTSD,New Zealand Toxic Substances Database,,
48,429,61,90,MSDS,MSDS Requirement,MSDS,
49,429,61,91,TSCA,TSCA Certificate,TSCA,
50,429,61,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
51,429,61,109,CEPA,Canadian Environmental Protection Act,,On the Canadian DSL
52,429,61,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
53,429,61,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
54,429,61,112,AICS,Australian Inventory of chemical Substances,ELINCS,
55,429,61,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
56,429,61,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
57,429,61,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
58,429,61,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
59,429,61,117,NZTSD,New Zealand Toxic Substances Database,,
60,887,311,90,MSDS,MSDS Requirement,MSDS,
61,887,311,91,TSCA,TSCA Certificate,TSCA,
62,887,311,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
63,887,311,109,CEPA,Canadian Environmental Protection Act,,
64,887,311,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
65,887,311,111,ELINCS,European REACH,CEPAN,
66,887,311,112,AICS,Australian Inventory of chemical Substances,ELINCS,
