PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
281,161,90,MSDS,MSDS Requirement,MSDS,
281,161,91,TSCA,TSCA Certificate,TSCA,
281,161,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
281,161,109,CEPA,Canadian Environmental Protection Act,,
281,161,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
281,161,111,ELINCS,European REACH,CEPAN,
281,161,112,AICS,Australian Inventory of chemical Substances,ELINCS,
281,161,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
281,161,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
281,161,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
281,161,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
281,161,117,NZTSD,New Zealand Toxic Substances Database,,
806,206,90,MSDS,MSDS Requirement,MSDS,
806,206,91,TSCA,TSCA Certificate,TSCA,
806,206,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
806,206,109,CEPA,Canadian Environmental Protection Act,,
806,206,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
806,206,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
806,206,112,AICS,Australian Inventory of chemical Substances,ELINCS,
806,206,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
806,206,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
806,206,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
806,206,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
806,206,117,NZTSD,New Zealand Toxic Substances Database,,
562,121,90,MSDS,MSDS Requirement,MSDS,
562,121,91,TSCA,TSCA Certificate,TSCA,
562,121,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
562,121,109,CEPA,Canadian Environmental Protection Act,,
562,121,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
562,121,111,ELINCS,European REACH,CEPAN,
562,121,112,AICS,Australian Inventory of chemical Substances,ELINCS,
562,121,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
562,121,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
562,121,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
562,121,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
562,121,117,NZTSD,New Zealand Toxic Substances Database,,
585,122,90,MSDS,MSDS Requirement,MSDS,
585,122,91,TSCA,TSCA Certificate,TSCA,
585,122,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
585,122,109,CEPA,Canadian Environmental Protection Act,,
585,122,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
585,122,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
585,122,112,AICS,Australian Inventory of chemical Substances,ELINCS,
585,122,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
585,122,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
585,122,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
585,122,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
585,122,117,NZTSD,New Zealand Toxic Substances Database,,
429,61,90,MSDS,MSDS Requirement,MSDS,
429,61,91,TSCA,TSCA Certificate,TSCA,
429,61,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
429,61,109,CEPA,Canadian Environmental Protection Act,,On the Canadian DSL
429,61,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
429,61,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
429,61,112,AICS,Australian Inventory of chemical Substances,ELINCS,
429,61,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
429,61,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
429,61,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
429,61,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
429,61,117,NZTSD,New Zealand Toxic Substances Database,,
887,311,90,MSDS,MSDS Requirement,MSDS,
887,311,91,TSCA,TSCA Certificate,TSCA,
887,311,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
887,311,109,CEPA,Canadian Environmental Protection Act,,
887,311,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
887,311,111,ELINCS,European REACH,CEPAN,
887,311,112,AICS,Australian Inventory of chemical Substances,ELINCS,
887,311,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
887,311,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
887,311,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
887,311,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
869,301,90,MSDS,MSDS Requirement,MSDS,
807,208,90,MSDS,MSDS Requirement,MSDS,
807,208,91,TSCA,TSCA Certificate,TSCA,
807,208,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
807,208,109,CEPA,Canadian Environmental Protection Act,,
807,208,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
807,208,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
807,208,112,AICS,Australian Inventory of chemical Substances,ELINCS,
807,208,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
807,208,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
807,208,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
807,208,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
807,208,117,NZTSD,New Zealand Toxic Substances Database,,
809,210,90,MSDS,MSDS Requirement,MSDS,
809,210,91,TSCA,TSCA Certificate,TSCA,
809,210,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
809,210,109,CEPA,Canadian Environmental Protection Act,,
809,210,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
809,210,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
809,210,112,AICS,Australian Inventory of chemical Substances,ELINCS,
809,210,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
809,210,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
809,210,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
809,210,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
809,210,117,NZTSD,New Zealand Toxic Substances Database,,
9141,3082,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
888,313,90,MSDS,MSDS Requirement,MSDS,
869,301,91,TSCA,TSCA Certificate,TSCA,
869,301,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
869,301,109,CEPA,Canadian Environmental Protection Act,,
869,301,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
869,301,111,ELINCS,European REACH,CEPAN,
869,301,112,AICS,Australian Inventory of chemical Substances,ELINCS,
869,301,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
869,301,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
869,301,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
869,301,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
869,301,117,NZTSD,New Zealand Toxic Substances Database,,
887,308,90,MSDS,MSDS Requirement,MSDS,
887,308,91,TSCA,TSCA Certificate,TSCA,
887,308,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
887,308,109,CEPA,Canadian Environmental Protection Act,,
887,308,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
887,308,111,ELINCS,European REACH,CEPAN,
887,308,112,AICS,Australian Inventory of chemical Substances,ELINCS,
887,308,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
887,308,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
887,308,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
887,308,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
887,308,117,NZTSD,New Zealand Toxic Substances Database,,
887,311,117,NZTSD,New Zealand Toxic Substances Database,,
888,313,91,TSCA,TSCA Certificate,TSCA,
888,313,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
888,313,109,CEPA,Canadian Environmental Protection Act,,
888,313,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
888,313,111,ELINCS,European REACH,CEPAN,
888,313,112,AICS,Australian Inventory of chemical Substances,ELINCS,
888,313,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
888,313,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
888,313,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
888,313,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
888,313,117,NZTSD,New Zealand Toxic Substances Database,,
29,3261,90,MSDS,MSDS Requirement,MSDS,
29,3261,91,TSCA,TSCA Certificate,TSCA,
29,3261,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
29,3261,109,CEPA,Canadian Environmental Protection Act,,
29,3261,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
29,3261,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
29,3261,112,AICS,Australian Inventory of chemical Substances,ELINCS,
29,3261,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
29,3261,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
