,PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
0,1,6502,110,CEPAD,U,56.0,Chem Beaumont,NA,,North America
1,1,6502,111,CEPAN,U,56.0,Chem Beaumont,NA,,North America
2,1,6502,112,ELINCS,U,56.0,Chem Beaumont,NA,,North America
3,1,6502,113,EINECS,U,56.0,Chem Beaumont,NA,,North America
4,1,6502,114,KKDIK,U,56.0,Chem Beaumont,NA,,North America
5,1,6502,116,ENCS,U,56.0,Chem Beaumont,NA,,North America
6,2,4901,90,MSDS,Y,,,,4681.0,North America
7,2,4901,91,TSCA,Y,,,,4681.0,North America
8,2,4901,110,CEPAD,U,,,,4681.0,North America
9,2,4901,111,CEPAN,U,,,,4681.0,North America
10,2,4901,112,ELINCS,U,,,,4681.0,North America
11,2,4901,113,EINECS,U,,,,4681.0,North America
12,2,4901,114,KKDIK,U,,,,4681.0,North America
13,2,4901,116,ENCS,U,,,,4681.0,North America
14,4,6501,90,MSDS,Y,,,,,North America
15,4,6501,91,TSCA,Y,,,,,North America
16,4,6501,110,CEPAD,U,,,,,North America
17,4,6501,111,CEPAN,U,,,,,North America
18,4,6501,112,ELINCS,U,,,,,North America
19,4,6501,113,EINECS,U,,,,,North America
20,4,6501,114,KKDIK,U,,,,,North America
21,4,6501,116,ENCS,U,,,,,North America
22,5,1,90,MSDS,Y,,,,1853.0,
23,5,1,91,TSCA,Y,,,,1853.0,
24,5,1,110,CEPAD,Y,,,,1853.0,
25,5,1,111,CEPAN,Y,,,,1853.0,
26,5,1,112,ELINCS,Y,,,,1853.0,
27,5,1,113,EINECS,Y,,,,1853.0,
28,5,1,114,KKDIK,Y,,,,1853.0,
29,5,1,116,ENCS,Y,,,,1853.0,
30,7,6621,110,CEPAD,U,8.0,Lawton,NA,,LA
31,7,6621,110,CEPAD,U,8.0,Lawton,NA,,North America
32,7,6621,111,CEPAN,U,8.0,Lawton,NA,,North America
33,7,6621,111,CEPAN,U,8.0,Lawton,NA,,LA
34,7,6621,112,ELINCS,U,8.0,Lawton,NA,,North America
35,7,6621,112,ELINCS,U,8.0,Lawton,NA,,LA
36,7,6621,113,EINECS,U,8.0,Lawton,NA,,North America
37,7,6621,113,EINECS,U,8.0,Lawton,NA,,LA
38,7,6621,114,KKDIK,U,8.0,Lawton,NA,,North America
39,7,6621,114,KKDIK,U,8.0,Lawton,NA,,LA
40,7,6621,116,ENCS,U,8.0,Lawton,NA,,LA
41,7,6621,116,ENCS,U,8.0,Lawton,NA,,North America
42,8,3344,90,MSDS,Y,,,,4043.0,North America
43,8,3344,90,MSDS,Y,,,,4043.0,LA
44,8,3344,90,MSDS,Y,,,,4043.0,EMEA
45,8,3344,90,MSDS,Y,,,,4043.0,AP
46,8,3344,91,TSCA,Y,,,,4043.0,AP
47,8,3344,91,TSCA,Y,,,,4043.0,EMEA
48,8,3344,91,TSCA,Y,,,,4043.0,North America
49,8,3344,91,TSCA,Y,,,,4043.0,LA
50,8,3344,110,CEPAD,Y,,,,4043.0,EMEA
51,8,3344,110,CEPAD,Y,,,,4043.0,LA
52,8,3344,110,CEPAD,Y,,,,4043.0,North America
53,8,3344,110,CEPAD,Y,,,,4043.0,AP
54,8,3344,111,CEPAN,Y,,,,4043.0,AP
55,8,3344,111,CEPAN,Y,,,,4043.0,EMEA
56,8,3344,111,CEPAN,Y,,,,4043.0,North America
57,8,3344,111,CEPAN,Y,,,,4043.0,LA
58,8,3344,112,ELINCS,N,,,,4043.0,EMEA
59,8,3344,112,ELINCS,N,,,,4043.0,LA
60,8,3344,112,ELINCS,N,,,,4043.0,North America
61,8,3344,112,ELINCS,N,,,,4043.0,AP
62,8,3344,113,EINECS,U,,,,4043.0,AP
63,8,3344,113,EINECS,U,,,,4043.0,EMEA
64,8,3344,113,EINECS,U,,,,4043.0,North America
65,8,3344,113,EINECS,U,,,,4043.0,LA
66,8,3344,114,KKDIK,Y,,,,4043.0,EMEA
67,8,3344,114,KKDIK,Y,,,,4043.0,LA
68,8,3344,114,KKDIK,Y,,,,4043.0,North America
69,8,3344,114,KKDIK,Y,,,,4043.0,AP
70,8,3344,116,ENCS,U,,,,4043.0,North America
71,8,3344,116,ENCS,U,,,,4043.0,LA
72,8,3344,116,ENCS,U,,,,4043.0,EMEA
73,8,3344,116,ENCS,U,,,,4043.0,AP
74,21,2961,90,MSDS,N,,,,3561.0,North America
75,21,2961,91,TSCA,Y,,,,3561.0,North America
76,21,2961,110,CEPAD,Y,,,,3561.0,North America
77,21,2961,111,CEPAN,N,,,,3561.0,North America
78,21,2961,112,ELINCS,Y,,,,3561.0,North America
79,21,2961,113,EINECS,Y,,,,3561.0,North America
80,21,2961,114,KKDIK,Y,,,,3561.0,North America
81,21,2961,116,ENCS,Y,,,,3561.0,North America
82,22,37841,90,MSDS,Y,49.0,Montlucon,EMEA,18681.0,North America
83,22,37841,90,MSDS,Y,49.0,Montlucon,EMEA,18681.0,LA
84,22,37841,90,MSDS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
85,22,37841,90,MSDS,Y,49.0,Montlucon,EMEA,18681.0,AP
86,22,37841,91,TSCA,Y,49.0,Montlucon,EMEA,18681.0,EMEA
87,22,37841,91,TSCA,Y,49.0,Montlucon,EMEA,18681.0,LA
88,22,37841,91,TSCA,Y,49.0,Montlucon,EMEA,18681.0,North America
89,22,37841,91,TSCA,Y,49.0,Montlucon,EMEA,18681.0,AP
90,22,37841,110,CEPAD,,49.0,Montlucon,EMEA,18681.0,North America
91,22,37841,110,CEPAD,,49.0,Montlucon,EMEA,18681.0,LA
92,22,37841,110,CEPAD,,49.0,Montlucon,EMEA,18681.0,EMEA
93,22,37841,110,CEPAD,,49.0,Montlucon,EMEA,18681.0,AP
94,22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,North America
95,22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,LA
96,22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,EMEA
97,22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,AP
98,22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
99,22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,LA
100,22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,North America
101,22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,AP
102,22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,North America
103,22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,LA
104,22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
105,22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,AP
106,22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,North America
107,22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,LA
108,22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,EMEA
109,22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,AP
110,22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,North America
111,22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,LA
112,22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,AP
113,22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
114,22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,North America
115,22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,LA
116,22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,EMEA
117,22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,AP
118,22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,North America
119,22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,EMEA
120,22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,LA
121,22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,AP
122,23,21,90,MSDS,Y,,,,338.0,
123,23,21,91,TSCA,Y,,,,338.0,
124,23,21,110,CEPAD,Y,,,,338.0,
125,23,21,111,CEPAN,Y,,,,338.0,
126,23,21,112,ELINCS,Y,,,,338.0,
127,23,21,113,EINECS,Y,,,,338.0,
128,23,21,114,KKDIK,Y,,,,338.0,
129,23,21,116,ENCS,Y,,,,338.0,
130,29,3261,90,MSDS,Y,,,,4061.0,LA
131,29,3261,91,TSCA,Y,,,,4061.0,LA
132,29,3261,110,CEPAD,Y,,,,4061.0,LA
133,29,3261,111,CEPAN,N,,,,4061.0,LA
