MATERIAL_CODE_ID,PGM_ID,PROP_PLANT_TRIAL,PROPOSED_PLANT_FOR_TRIAL,TIRE_LINE_ID,REGION_ID,PROPOSED_REGION_FOR_TRIAL
1,,,,,,
2,16520.0,,,,,
3,,,,,,
4,,,,,,
5,13161.0,5.0,Fayetteville,1.0,1.0,North America
6,,,,,,
7,,,,,,
8,130314.0,40.0,Thailand,,4.0,AP
8,12969.0,30.0,Americana,,2.0,LA
8,141105.0,33.0,Colombia,,2.0,LA
8,141106.0,47.0,Indonesia,,4.0,AP
8,137875.0,47.0,Indonesia,,4.0,AP
8,30569.0,,,,,
8,43290.0,47.0,Indonesia,,4.0,AP
8,30572.0,1.0,Danville,,1.0,North America
8,115470.0,30.0,Americana,,2.0,LA
8,86015.0,40.0,Thailand,,4.0,AP
8,44462.0,1.0,Danville,,1.0,North America
8,30568.0,,,,,
8,59719.0,1.0,Danville,,1.0,North America
8,59720.0,3.0,Topeka,,1.0,North America
8,30571.0,1.0,Danville,,1.0,North America
8,51741.0,24.0,Sava,,3.0,EMEA
8,24326.0,30.0,Americana,,2.0,LA
8,21495.0,47.0,Indonesia,,4.0,AP
8,25298.0,,,,,
8,25297.0,3.0,Topeka,,1.0,North America
8,20256.0,33.0,Colombia,,2.0,LA
8,21637.0,47.0,Indonesia,,4.0,AP
8,30570.0,,,,,
8,15294.0,1.0,Danville,2.0,1.0,North America
8,16506.0,3.0,Topeka,,1.0,North America
8,13679.0,3.0,Topeka,23.0,1.0,North America
8,13700.0,30.0,Americana,23.0,2.0,LA
8,13951.0,18.0,Debica,2.0,3.0,EMEA
8,13914.0,18.0,Debica,,3.0,EMEA
8,13915.0,1.0,Danville,23.0,1.0,North America
8,14298.0,18.0,Debica,2.0,3.0,EMEA
8,4381.0,40.0,Thailand,,4.0,AP
8,12970.0,3.0,Topeka,2.0,1.0,North America
8,91169.0,3.0,Topeka,,1.0,North America
9,,,,,,
10,68767.0,100.0,Pulandian,,4.0,AP
10,41188.0,,,,,
10,15773.0,,,,,
10,13572.0,,,,,
10,13133.0,,,,,
10,443.0,,,,,
10,2223.0,27.0,South Africa,,3.0,EMEA
10,2222.0,8.0,Lawton,,1.0,North America
10,8121.0,10.0,Napanee,,1.0,North America
10,14483.0,,,,,
11,,,,,,
12,7227.0,4.0,Union City,,1.0,North America
13,3052.0,,,,,
13,4422.0,,,,,
13,7266.0,,,,,
13,7107.0,,,,,
13,7106.0,,,,,
14,14030.0,52.0,Fuerstenwalde,1.0,3.0,EMEA
15,26788.0,57.0,Chem Houston,,1.0,North America
16,144191.0,52.0,Fuerstenwalde,,3.0,EMEA
16,14512.0,,,,,
16,144193.0,51.0,Wittlich,,3.0,EMEA
16,144176.0,18.0,Debica,,3.0,EMEA
16,73464.0,,,,,
16,141652.0,,,,,
16,141869.0,,,,,
16,144216.0,,,,,
16,64367.0,,,,,
16,64570.0,51.0,Wittlich,,3.0,EMEA
16,43391.0,51.0,Wittlich,,3.0,EMEA
16,68926.0,,,,,
16,43389.0,18.0,Debica,,3.0,EMEA
16,64534.0,,,,,
16,43390.0,49.0,Montlucon,,3.0,EMEA
16,14916.0,19.0,Philippsburg,,3.0,EMEA
16,17953.0,,,,,
16,14917.0,21.0,Luxembourg,,3.0,EMEA
16,14915.0,50.0,Hanau,,3.0,EMEA
16,25553.0,100.0,Pulandian,,4.0,AP
16,13751.0,44.0,Dalian,,4.0,AP
16,14427.0,,,,,
16,144192.0,23.0,Adapazari,,3.0,EMEA
17,15673.0,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,447.0,,,,,
23,14997.0,,,,,
23,15110.0,,,,,
24,4204.0,,,,,
25,,,,,,
26,24403.0,18.0,Debica,,3.0,EMEA
27,26516.0,,,,,
27,13118.0,36.0,Venezuela,1.0,2.0,LA
27,35275.0,37.0,Malaysia,,4.0,AP
27,60876.0,,,,,
27,42926.0,46.0,Aurangabad,,4.0,AP
27,47817.0,46.0,Aurangabad,,4.0,AP
27,26517.0,,,,,
27,60743.0,,,,,
27,26602.0,24.0,Sava,,3.0,EMEA
