MATERIAL_CODE_ID,MATERIAL_CODE,REVISION_NO,MATERIAL_GROUP,CLASS,SUBCLASS,DOUBLE_SUBCLASS,EUROPE_CLASS,MANET_CLASS,MANET_SUBCLASS,UPDATED_CMNTS,MATERIAL_DESC,IS_ACTIVE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILLER,FLY_LOSS
124,RFNDX,0,REINFORCEMENT,CONVERTED FABRIC,"NYLON 6,6",,,,,Not active,"940/1 DECITEX NYLON 6,6 WOVEN 75X75 E/DM",N,28,2007-07-30 00:00:00,6200.0,2015-10-28 08:22:20,FABR,FABRSQW,CONVERTED FABRIC,N,N, ,1.0,0.0,0.0,0.0,0.0
128,RFNC26UA,0,REINFORCEMENT,FABRIC,"NYLON 6,6",,,,,inactivate due to lack of use. kom 10/15/10,"NYLON 6,6 940/1/2 12X12 TPI 26EPI UA",N,28,2007-05-16 00:00:00,216.0,2010-10-15 08:41:27,FABR,FABR,,,,,,0.0,0.0,0.0,
129,RFNC26JA,0,REINFORCEMENT,FABRIC,"NYLON 6,6",,,,,"Inactivate, SOS review 4/17/13","NYLON 6,6 940/1/2 12X12 TPI 26EPI JA",N,28,2007-05-18 00:00:00,216.0,2013-04-19 08:17:27,FABR,FABR,FABR,N,Y, ,0.1,0.0,0.0,0.0,1.0
140,RFnan,0,REINFORCEMENT,CONVERTED FABRIC,"NYLON 6,6",,,,,,"470/1 DECITEX NYLON 6,6 WOVEN 24X24",Y,28,2006-03-23 00:00:00,,,FABR,FABRSQW,NYLON 66,,,,,0.0,0.0,0.0,
141,RFN3,0,REINFORCEMENT,CONVERTED FABRIC,"NYLON 6,6",,,,,,"LUTRABOND 3020, NYLON 6,6",Y,28,2006-09-18 00:00:00,,,FABR,,,,,,,0.0,0.0,0.0,
142,RFN1,0,REINFORCEMENT,CONVERTED FABRIC,"NYLON 6,6",,,,,,"1010 DECITEX NYLON 6,6 WOVEN 50X50 E/DM",Y,28,2005-05-11 00:00:00,,,FABR,,,,,,,0.0,0.0,0.0,
143,RFN08T,0,REINFORCEMENT,YARN,POLYESTER - HMLS,,,,,,1440 DECITEX HMLS POLYESTER,Y,28,2006-02-16 00:00:00,,,,,,,,,,0.0,0.0,0.0,
144,RFN06T,0,REINFORCEMENT,YARN,POLYESTER - HMLS,,,,,,1100 DECITEX HMLS POLYESTER,Y,28,2004-11-10 00:00:00,,,,,,,,,,0.0,0.0,0.0,
145,RFN05L,0,REINFORCEMENT,YARN,NYLON 6,,,,,no longer in use,940 DECITEX NYLON 6,N,28,2004-11-10 00:00:00,216.0,2013-11-01 07:02:37,FABR,FABR,FABR,N,Y, ,0.1,0.0,0.0,0.0,1.0
146,RFN04L,0,REINFORCEMENT,YARN,NYLON 6,,,,,,1400 DECITEX NYLON 6,Y,28,2004-11-10 00:00:00,,,,,,,,,,0.0,0.0,0.0,
