Material,Yarn Denier,Material description,Material type,Fabric Construction Code,Fabric Processing Code,Cord Density Code,Fill Cord,Linear Fill Cord Weight,Picks per Meter,Woven Fabric Width,Calculated Ends per Inch,Linear Fill Cord Weight DEN,Fabric Squarewoven Construction Code,Wire Construction Code,Cable Construction Code,Source,Cable Bead Coating,Gauge,Bead Inside Diameter,Component Weight,Fabric Processing Code.1
RF213D2A,,1X2.5+(9+15)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,7.7,213.0,0.2,
RF263E27,,1X3.0+(10+16)X1.30,,,,,,,,,,,,,,Cable Beads,BRASS,8.2,263.0,0.28,
RF263E2A,,1X3.0+(10+16)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,8.2,263.0,0.28,
RF265A,,1X1.20 MM+(5+12+18)X1.30 MM BRASS PLATED,,,,,,,,,,,,,,Cable Beads,BRASS,9.0,265.0,0.321,
RF265K37,,1X1.20+(5+12+18)X1.30,,,,,,,,,,,,,,Cable Beads,BRASS,9.0,265.0,0.32,
RF265K3A,,1X1.2+(5+12+18)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,9.0,265.0,0.32,
RF288K3A,,1X1.2+(5+12+18)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,9.0,288.0,0.35,
RF315E24,,CABD 315 1X3.0 + (7+14)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,11.0,315.0,0.59,
RF336D23,,CABD 336 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,336.0,0.628,
RF338D23,,CABD 338 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,338.0,0.631,
RF339D23,,CABD 339 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,339.0,0.48,
RF340D23,,CABD 340 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,340.0,0.635,
RF362E25,,CABD 362 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,362.0,0.768,
RF364E25,,CABD 364 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,364.0,0.77,
RF364F37,,1X4.0+(12+18+24)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,364.0,0.78,
RF364F3A,,1X4.0+(12+18+24)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,11.8,364.0,0.8,
RF365E25,,CABD 365 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,365.0,0.772,
RF366E25,,CABD 366 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,366.0,0.774,
RF366G3A,,1X5.0+(14+20+26)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,12.8,366.0,0.95,
RF366P2A,,1X6.0AL+(17+22)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,11.2,366.0,0.57,
RF370E25,,CABD 370 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,370.0,0.784,
RF372E25,,CABD 372 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,372.0,0.791,
RF380G33,,CABD 380 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,380.0,1.458,
RF382E33,,1X3.0+(8+14+20)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.8,382.0,1.12,
RF382G33,,CABD 382 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,382.0,1.47,
RF383K2A,,1X1.2+(6)X0.96+(10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.7,383.0,0.18,
RF383K2B,,CABD 383 1X1.2 + (6)X0.96 + (11)X1.20MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,383.0,0.172,
RF384G33,,CABD 384 1X5.0(11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,384.0,1.473,
RF385G33,,CABD 385 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,385.0,1.477,
RF38CK2B,,CABD 38C 1X1.2 + (6)X0.96+(11)X1.20,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,382.5,0.172,
RF38DE12,,CABD 38D 1X3.0 + (9)X1.55,,,,,,,,,,,,,,Cable Beads,BRONZE,6.1,383.5,0.232,
RF38DE17,,CABD 38D 1X3.0 + (10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.6,383.5,0.196,
RF38DK2B,,CABD 38D 1X1.2 + (6)X0.96+(11)X1.20,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,383.5,0.171,
RF392E33,,CABD 392 1X3.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.8,392.0,1.16,
RF394D33,,CABD 394 1X2.5 + (7+13+19)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,394.0,1.046,
RF396D33,,CABD 396 1X2.5 + (7+13+19)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,396.0,1.06,
RF408K2A,,1X1.2+(6)X0.96+(10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.7,408.0,0.19,
RF40HK2B,,1X1.2+(6)X0.96+(11)X1.2MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,407.5,0.18,
RF416E24,,CABD 416 1X3.0 + (7+14)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,11.0,416.0,0.769,
RF418D33,,CABD 418 1X2.5 + (7+13+19)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,418.0,1.108,
RF418E25,,CABD 418 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,418.0,0.881,
RF418G33,,CABD 418 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,418.0,1.603,
RF424G44,,CABD 424 1X5.0 + (10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,424.0,2.843,
RF431G44,,CABD 431 1X5.0 + (10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,431.0,2.89,
RF435H35,,CABD 435 1X6.0 + (11+17+23)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,19.2,435.0,2.488,
RF442G33,,CABD 442 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,442.0,2.214,
RF444G33,,CABD 444 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,444.0,2.214,
RF446G33,,CABD 446 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,446.0,1.697,
RF446G34,,1X5.0+(10+16+22)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,17.0,446.0,1.94,
RF448G33,,CABD 448 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,448.0,2.24,
