PGM_ID,APPROVAL_PROCESS_NAME,PGM_NAME,MATERIAL_GROUP,TECH_CENTER_LOC,NEED_BY_DATE,CREATED_DATE,ASSIGNED_TO,CREATOR,ASSIGNEE,REQUESTER,CURRENT_STATUS,PROGRAM_STAGE,MATERIAL_CODE,REVISION_NO,CLASS,SUB_CLASS,SUPPLIER_NAME,SUPPLIER_PLANT,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,SUPPLIER_PLANT_LOCATION,SUPPLIER_TRADENAME,AGENT_NAME,AGENT_PLANT,AGENT_CITY,AGENT_STATE,AGENT_COUNTRY,AGENT_PLANT_LOCATION,COMMODITY_GROUP,MATERIAL_CATEGORY,REGION_FOR_TRIAL,PLANT_FOR_TRIAL,PLANT_SLOT,EXP_CODE,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILTER,RMI_DESC,MANET_CLASS,MANET_SUBCLASS,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,PGM_REASON,AGENT_BUILD_BREAK,REINGMI_DESC,MAT_CLASS,MAT_SUBCLASS,MAT_DOUBLE_SUBCLASS,APPROVAL_REGIONS,RESTRICTED_PLANTS,Computed_MATERIAL_CODE,sis_Supplier,sis_Plant,City MIS_x,sis_SIS_Plant_code,Supplier Opcenter_x,Plant Opcenter_x,Plant city_x,Plant state_x,Plant country_x,Active_x,sis_Agent,sis_A_Plant,City MIS_y,sis_Agent_Plant_code,Supplier Opcenter_y,Plant Opcenter_y,Plant city_y,Plant state_y,Plant country_y,Active_y
10785,NEW SOURCE,NS_010785,REINFORCEMENT,GTC*A,,2009-10-27 15:35:00,159,Adam O'Donnell,Rob Wyszynski,,Completed,PAPER WORK - Completed,RFFP,1,WIRE,STEEL CORD,BEKAERT,ROGERS,Rogers,AR,USA,"Rogers, AR, USA",BB01FP,,,,,,,Steel,Wire,NA,Topeka,2011-04-30,RFS00018,,,,,,,,,,,,,,Cost Savings,,1x.21/18x.185 UT,WIRE,STEEL CORD,,NA,,RFFP,BEKAERT,"Rogers, AR, USA",Rogers,AMX,BEKAERT,ROGERS,ROGERS,AR,USA,Yes,,,,,,,,,,
13183,SOURCE CHANGE,SC_013183,REINFORCEMENT,GTC*A,,2010-04-20 14:35:56,2320,Julie Graybill,Marcelo Cadima,,Cancelled,PROGRAM INITIATION - Completed ,RFCH,1,WIRE,BEAD WIRE,KISWIRE,HONG DUK,Hong Duk,Others,South Korea,"Hong Duk, South Korea",242CH,,,,,,,Steel,Wire,LA,Americana,,RF0040918,,,,,,,,,,,,,,flexibility in supply,,,,,,LA,,RF0040918,Kiswire - Bead Wire,"Hong Duk, South Korea",Hong Duk,JBU,KISWIRE,HONG DUK,HONG DUK,OTHERS,SOUTH KOREA,Yes,,,,,,,,,,
16245,SOURCE CHANGE,SC_016245,REINFORCEMENT,GTC*A,,2012-07-23 10:32:56,2860,Deryk Espinoza,Jenny Hu,,Cancelled,PROGRAM INITIATION - In Progress ,RFCH,1,WIRE,BEAD WIRE,KISWIRE,HONG DUK,Hong Duk,Others,South Korea,"Hong Duk, South Korea",242CH,,,,,,,Steel,Wire,NA,Chile,,RF0041966,,,,,,,,,,,,,,Cost Savings,,,,,,,,RF0041966,Kiswire - Bead Wire,"Hong Duk, South Korea",Hong Duk,JBU,KISWIRE,HONG DUK,HONG DUK,OTHERS,SOUTH KOREA,Yes,,,,,,,,,,
15941,REVISIONS,RE_015941,REINFORCEMENT,GTC*L,,2012-06-29 08:28:17,1121,Anthony Hardy,Anthony Hardy,,Completed,PAPER WORK - Completed,RFCH,1,WIRE,BEAD WIRE,,,,,,,,,,,,,,Steel,Wire,EMEA,Luxembourg,,RF0041948,,,,,,,,,,,,,,Change of Cumaron to Novares C-90,,,,,,EMEA,Luxembourg,RFCH,,,,,,,,,,,,,,,,,,,,
18038,SOURCE CHANGE,SC_018038,REINFORCEMENT,GTC*A,,2013-01-11 14:00:17,92,Neil Kern,Daniel Kowalski,,Cancelled,PPO REINFORCMENT - Completed,RFCH,1,WIRE,BEAD WIRE,KISWIRE,HONG DUK,Hong Duk,Others,South Korea,"Hong Duk, South Korea",242CH,,,,,,,Steel,Wire,NA,Topeka,,RF0042267,,,,,,,,,,,,,,Cost Savings,,,,,,,,RF0042267,Kiswire - Bead Wire,"Hong Duk, South Korea",Hong Duk,JBU,KISWIRE,HONG DUK,HONG DUK,OTHERS,SOUTH KOREA,Yes,,,,,,,,,,
17924,SOURCE CHANGE,SC_017924,REINFORCEMENT,GTC*L,,2012-12-18 16:27:20,1100,Neil Kern,Thomas Gillmann,,Cancelled,PROGRAM INITIATION - Positive Priority Entered ,RFCH,1,WIRE,BEAD WIRE,BMZ,MICORD,"Micord, Bielorussia",Others,Russia,"Micord, Bielorussia, Russia",312CH,,,,,,,Steel,Wire,EMEA,Sava,,RF0042216,,,,,,,,,,,,,,,,,,,,,,RF0042216,BMZ,"Micord, Bielorussia","Micord, Bielorussia",ECH,BMZ,MICORD,"MICORD, BIELORUSSIA",OTHERS,RUSSIA,Yes,,,,,,,,,,
18042,EMERGENCY,ER_018042,REINFORCEMENT,GTC*A,,2013-01-11 15:11:25,159,Rob Wyszynski,Rob Wyszynski,,Cancelled,PROGRAM INITIATION - In Progress ,RFFP,1,WIRE,STEEL CORD,BEKAERT,ROGERS,Rogers,AR,USA,"Rogers, AR, USA",BB02FP,,,,,,,Steel,Wire,,,,RF0042271,,,,,,,,,,,,,,Regional shortage.,,,,,,,,RF0042271,BEKAERT,"Rogers, AR, USA",Rogers,AMX,BEKAERT,ROGERS,ROGERS,AR,USA,Yes,,,,,,,,,,
19314,SOURCE CHANGE,SC_019314,REINFORCEMENT,GTC*A,,2013-07-23 16:42:59,107,Emily Weaver,Wagner Bernardo,,Cancelled,PROGRAM INITIATION -  ,RFQV28,1,GREIGE,POLYESTER - HMLS AA,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,"Dong Nai, Vietnam",QV28,,,,,,,Fabric,Fabric,,,,RF0042560,,,,,,,,,,,,,,,,,,,,,,RF0042560,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
19315,SOURCE CHANGE,SC_019315,REINFORCEMENT,GTC*A,,2013-07-23 16:43:03,107,Emily Weaver,Wagner Bernardo,,Cancelled,PPO REINFORCMENT - Completed,RFQV28,1,GREIGE,POLYESTER - HMLS AA,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,"Dong Nai, Vietnam",QV28,,,,,,,Fabric,Fabric,LA,Americana,,RF0042561,,,,,,,,,,,,,,Cost savings program as well as allocation change requireed to meet Hyosung contractual PET volume requirement,,,,,,,,RF0042561,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
20397,SOURCE CHANGE,SC_020397,REINFORCEMENT,GTC*L,,2013-12-11 14:30:38,750,Trevor Kish,Vickie Weeter,,Cancelled,PROGRAM INITIATION - Positive Priority Entered ,RFCH,1,WIRE,BEAD WIRE,BEKAERT,JIANGYIN,Jiangyin,Others,China,"Jiangyin, China",028CH,,,,,,,Steel,Wire,EMEA,Sava,,RF0042806,,,,,,,,,,,,,,Contractual Obligation,,,,,,,,RF0042806,BEKAERT,"Jiangyin, China",Jiangyin,JTM,BEKAERT,JIANGYIN,JIANGYIN,OTHERS,CHINA,Yes,,,,,,,,,,
20396,SOURCE CHANGE,SC_020396,REINFORCEMENT,GTC*L,,2013-12-11 14:25:07,750,Trevor Kish,Vickie Weeter,,Cancelled,PROGRAM INITIATION - Positive Priority Entered ,RFCH,1,WIRE,BEAD WIRE,BEKAERT,JIANGYIN,Jiangyin,Others,China,"Jiangyin, China",028CH,,,,,,,Steel,Wire,EMEA,Debica,,RF0042805,,,,,,,,,,,,,,Contractual Obligation,,,,,,,,RF0042805,BEKAERT,"Jiangyin, China",Jiangyin,JTM,BEKAERT,JIANGYIN,JIANGYIN,OTHERS,CHINA,Yes,,,,,,,,,,
