SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,FILE_NAME
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,Documents,,General Documents,docDocuments,,,1271698243166_S00030_N Rev.00.pdf
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Documents,,General Documents,docDocuments,,,1268939976905_S00027_N Rev.00.pdf
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Documents,,General Documents,docDocuments,,,1364219560904_Steelcord.pdf.pdf
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Documents,,General Documents,docDocuments,,,1360849392848_Factory Feedback Form_Bekaert BSAP FP_ Initial creel.xls
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,Documents,,General Documents,docDocuments,,,1392734249999_Volume_Creel_Factory_Feedback_ 2-18-14.xlsx
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,Documents,,General Documents,docDocuments,,,1277715609824_GL2081.pdf
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,Documents,,General Documents,docDocuments,,,1358449497764_Re_ Fw_ NS_012968 .eml
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,Documents,,General Documents,docDocuments,,,1347015696325_Vietnam FP (S00068) Lab Sample COA_August 2012.pdf
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,Documents,,General Documents,docDocuments,,,1310710653499_GL2084.pdf
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,Documents,,General Documents,docDocuments,,,1368543312287_NS_015627-NS_015630-NS_017568-NS_016409_NS_016411-NS_016412-NS_017719-NS_016483-NS_016410-NS_014624-NS_014280_Re_ Fw_ HSE Outstanding MIS programs.eml
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,Documents,,General Documents,docDocuments,,,1411667159682_Safety Data Sheet.pdf
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,Documents,,General Documents,docDocuments,,,1465542263083_Q09RW31SH_A spec.pdf
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,Documents,,General Documents,docDocuments,,,1446479583774_2015 CIRF Reinforcement RW31.pdf
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,Documents,,General Documents,docDocuments,,,1446479583775_MSDS RAYON dipped fabric Edition.PDF
RFCH,1,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,Documents,,General Documents,docDocuments,,,1394117009492_JH BH CH CIRF from Bekaert.pdf
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,Documents,,General Documents,docDocuments,,,1415982826741_PET MSDS.PDF
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,Documents,,General Documents,docDocuments,,,1415982826741_QC32PF CIRF.pdf
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,Documents,,General Documents,docDocuments,,,1423823386470_GTC3653PF-A rev00.pdf
RFCH,1,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,Documents,,General Documents,docDocuments,,,1499880244610_CH Kiswire CIRF.xlsx
