SP_VALUE,SP_VERSION,FR_SHORT_DESC,FR_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,STYPE_VALUE,CREATED_BY,LC_DESC,LC_VERSION,SS_DESC,CREATED_ON,EFFECTIVE_FROM,EFFECTIVE_TILL,HAS_ADHOC_APPROVAL
RFFP,1,SupplierReinforcement,,Supplier,KISWIRE,CHANGWON,,,F501FP,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,JIANGYIN,,,028CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFRW31SH,1,SupplierReinforcement,,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFQC32PF,1,SupplierReinforcement,,Supplier,KORDSA,IZMIT,,,Z05QC32PF,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,262CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,SHANDONG SNTON,SHANDONG,,,421CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,411CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DONG NAI,,,C403FP,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,431CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KISWIRE,RONGCHENG CITY,,,252CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C402FP,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,ITAUNA - BRAZIL (BEAD WIRE),,,029CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KISWIRE,Pine Bluff,,,247CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KERN,TRINEC - KONSKA,,,391CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFLC16SD,1,SupplierReinforcement,,Supplier,JUNMA,ZHANGJIAGANG,,,U08LC16SD,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KISWIRE,QINGDAO,,,246CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,NATIONAL STANDARD,STILLWATER,,,142CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KISWIRE,NEWBERRY,,,243CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BMZ,MICORD,,,312CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFNT26QA,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,ROME,,,022CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,KISWIRE,HONG DUK,,,242CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,IZMIT,,,023CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,BRAZIL,,,091CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFTEST1,1,SupplierReinforcement,,Supplier,GOODYEAR TIRE AND RUBBER,AKRON,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,PPG INDUSTRIES,TOLL-ORIENTAL SILICA,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,DIAMOND SHAMROCK CHEMICAL,UNSPECIFIED,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
