AP_PGM_ID,PGM_ID,REGION_ID,REGION_NAME,GY_PLANT_ID,PROH_PLANT_NAME
4,4,1.0,NA,,
29,29,2.0,LA,,
46,46,1.0,NA,,
46,46,2.0,LA,,
46,46,3.0,EMEA,,
46,46,4.0,AP,,
47,47,1.0,NA,,
47,47,2.0,LA,,
47,47,3.0,EMEA,,
47,47,4.0,AP,,
104,104,3.0,EMEA,,
107,107,3.0,EMEA,,
128,128,1.0,NA,,
131,131,1.0,NA,,
143,143,1.0,NA,,
150,150,1.0,NA,,
162,162,1.0,NA,,
170,170,1.0,NA,,
171,171,1.0,NA,,
172,172,1.0,NA,,
173,173,1.0,NA,,
174,174,1.0,NA,,
175,175,1.0,NA,,
176,176,1.0,NA,,
183,183,3.0,EMEA,21.0,Luxembourg
185,185,1.0,NA,,
186,186,1.0,NA,,
201,201,,,,
241,241,3.0,EMEA,,
262,262,3.0,EMEA,,
265,265,3.0,EMEA,,
281,281,,,,
282,282,1.0,NA,,
282,282,2.0,LA,,
282,282,3.0,EMEA,,
282,282,4.0,AP,,
321,321,3.0,EMEA,,
322,322,3.0,EMEA,,
325,325,3.0,EMEA,,
331,331,1.0,NA,,
331,331,2.0,LA,,
331,331,3.0,EMEA,,
331,331,4.0,AP,,
338,338,1.0,NA,,
402,402,1.0,NA,,
423,423,,,,
426,426,,,,
428,428,,,,
434,434,,,,
438,438,1.0,NA,,
438,438,2.0,LA,,
438,438,3.0,EMEA,,
438,438,4.0,AP,,
442,442,,,,
464,464,3.0,EMEA,,
465,465,3.0,EMEA,,
466,466,3.0,EMEA,,
523,523,1.0,NA,,
524,524,1.0,NA,,
543,543,1.0,NA,,
545,545,1.0,NA,,
561,561,3.0,EMEA,,
563,563,,,,
5,5,,,,
8,8,1.0,NA,,
8,8,2.0,LA,,
8,8,3.0,EMEA,,
8,8,4.0,AP,,
22,22,1.0,NA,,
22,22,2.0,LA,,
22,22,3.0,EMEA,27.0,South Africa
22,22,4.0,AP,,
22,22,1.0,NA,,
22,22,2.0,LA,,
22,22,3.0,EMEA,,
22,22,4.0,AP,40.0,Thailand
22,22,1.0,NA,,
22,22,2.0,LA,,
22,22,3.0,EMEA,,
22,22,4.0,AP,47.0,Indonesia
22,22,1.0,NA,,
22,22,2.0,LA,,
22,22,3.0,EMEA,346.0,Melksham
22,22,4.0,AP,,
25,25,1.0,NA,,
25,25,2.0,LA,,
25,25,3.0,EMEA,,
25,25,4.0,AP,,
31,31,1.0,NA,,
61,61,1.0,NA,,
81,81,1.0,NA,,
82,82,3.0,EMEA,,
101,101,1.0,NA,,
103,103,3.0,EMEA,,
123,123,3.0,EMEA,,
146,146,1.0,NA,,
147,147,1.0,NA,,
168,168,1.0,NA,,
177,177,1.0,NA,,
178,178,4.0,AP,,
179,179,4.0,AP,,
180,180,,,,
187,187,1.0,NA,,
326,326,3.0,EMEA,,
334,334,1.0,NA,,
334,334,2.0,LA,,
334,334,3.0,EMEA,,
334,334,4.0,AP,,
335,335,1.0,NA,,
335,335,2.0,LA,,
335,335,3.0,EMEA,,
335,335,4.0,AP,,
336,336,1.0,NA,,
341,341,,,,
361,361,1.0,NA,,
361,361,2.0,LA,,
361,361,3.0,EMEA,,
361,361,4.0,AP,,
381,381,1.0,NA,,
381,381,2.0,LA,,
381,381,3.0,EMEA,,
381,381,4.0,AP,,
424,424,,,,
427,427,,,,
430,430,,,,
444,444,,,,
448,448,,,,
462,462,3.0,EMEA,,
467,467,3.0,EMEA,,
502,502,1.0,NA,55.0,Chem Bayport
505,505,1.0,NA,57.0,Chem Houston
530,530,1.0,NA,,
546,546,1.0,NA,56.0,Chem Beaumont
562,562,,,,
601,601,1.0,NA,,
602,602,1.0,NA,,
603,603,1.0,NA,,
605,605,1.0,NA,,
643,643,1.0,NA,3.0,Topeka
643,643,4.0,AP,,
643,643,1.0,NA,,
643,643,4.0,AP,42.0,Nippon Giant
6,6,1.0,NA,,
26,26,1.0,NA,56.0,Chem Beaumont
30,30,1.0,NA,55.0,Chem Bayport
30,30,1.0,NA,56.0,Chem Beaumont
30,30,1.0,NA,57.0,Chem Houston
30,30,1.0,NA,58.0,Chem Niagara Falls
32,32,1.0,NA,,
102,102,1.0,NA,,
102,102,2.0,LA,,
102,102,3.0,EMEA,,
102,102,4.0,AP,,
108,108,3.0,EMEA,,
121,121,3.0,EMEA,,
124,124,3.0,EMEA,,
126,126,3.0,EMEA,,
132,132,1.0,NA,,
132,132,2.0,LA,,
132,132,3.0,EMEA,,
132,132,4.0,AP,,
133,133,3.0,EMEA,,
141,141,1.0,NA,,
142,142,1.0,NA,,
144,144,1.0,NA,,
148,148,1.0,NA,,
149,149,1.0,NA,,
161,161,1.0,NA,,
165,165,1.0,NA,,
167,167,1.0,NA,,
169,169,1.0,NA,,
221,221,,,,
263,263,3.0,EMEA,,
264,264,3.0,EMEA,,
266,266,3.0,EMEA,,
329,329,3.0,EMEA,,
332,332,1.0,NA,,
332,332,2.0,LA,,
332,332,3.0,EMEA,,
332,332,4.0,AP,,
401,401,1.0,NA,,
401,401,2.0,LA,,
401,401,3.0,EMEA,,
401,401,4.0,AP,,
421,421,,,,
429,429,1.0,NA,,
432,432,1.0,NA,,
432,432,2.0,LA,,
432,432,3.0,EMEA,,
432,432,4.0,AP,,
433,433,2.0,LA,30.0,Americana
435,435,1.0,NA,,
435,435,2.0,LA,,
435,435,3.0,EMEA,,
435,435,4.0,AP,,
436,436,,,,
443,443,,,,
445,445,,,,
447,447,,,,
501,501,1.0,NA,,
506,506,1.0,NA,56.0,Chem Beaumont
521,521,1.0,NA,,
525,525,1.0,NA,,
527,527,1.0,NA,,
528,528,1.0,NA,,
541,541,,,,
581,581,1.0,NA,,
581,581,2.0,LA,,
581,581,3.0,EMEA,,
581,581,4.0,AP,,
582,582,1.0,NA,,
582,582,2.0,LA,,
582,582,3.0,EMEA,,
582,582,4.0,AP,,
583,583,1.0,NA,,
583,583,2.0,LA,,
583,583,3.0,EMEA,,
583,583,4.0,AP,,
1,1,1.0,NA,,
2,2,1.0,NA,,
33,33,1.0,NA,,
34,34,3.0,EMEA,,
35,36,1.0,NA,,
42,42,1.0,NA,,
43,43,1.0,NA,,
44,44,1.0,NA,,
45,45,1.0,NA,,
45,45,2.0,LA,,
45,45,3.0,EMEA,,
45,45,4.0,AP,,
105,105,3.0,EMEA,,
106,106,3.0,EMEA,,
122,122,3.0,EMEA,,
125,125,3.0,EMEA,,
127,127,1.0,NA,,
129,129,1.0,NA,,
130,130,1.0,NA,,
145,145,1.0,NA,,
164,164,1.0,NA,,
182,182,1.0,NA,,
182,182,2.0,LA,,
182,182,3.0,EMEA,,
182,182,4.0,AP,,
184,184,1.0,NA,,
242,242,3.0,EMEA,,
243,243,3.0,EMEA,,
244,244,3.0,EMEA,,
261,261,3.0,EMEA,,
323,323,3.0,EMEA,,
324,324,3.0,EMEA,,
330,330,1.0,NA,,
337,337,1.0,NA,,
337,337,2.0,LA,,
337,337,3.0,EMEA,,
337,337,4.0,AP,,
362,362,1.0,NA,,
362,362,2.0,LA,,
362,362,3.0,EMEA,,
362,362,4.0,AP,,
363,363,1.0,NA,,
364,364,1.0,NA,,
364,364,2.0,LA,,
364,364,3.0,EMEA,,
364,364,4.0,AP,,
422,422,,,,
431,431,,,,
437,437,,,,
441,441,,,,
446,446,,,,
461,461,3.0,EMEA,,
503,503,1.0,NA,,
504,504,1.0,NA,,
522,522,1.0,NA,,
531,531,1.0,NA,,
544,544,3.0,EMEA,,
547,547,1.0,NA,,
548,548,1.0,NA,,
550,550,1.0,NA,,
584,584,1.0,NA,,
604,604,1.0,NA,,
607,607,1.0,NA,,
608,608,1.0,NA,,
3,3,2.0,LA,,
7,7,1.0,NA,,
7,7,2.0,LA,,
21,21,1.0,NA,,
23,23,,,,
27,27,1.0,NA,,
27,27,2.0,LA,,
27,27,3.0,EMEA,,
27,27,4.0,AP,,
36,38,3.0,EMEA,,
