PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROH_PLANT_NAME,REGION_NAME,MEASURE_CMNTS,CODE_DESC
1,6502,110,CEPAD,U,Chem Beaumont,North America,,European Inventory of Existing Commercial Chemical
1,6502,111,CEPAN,U,Chem Beaumont,North America,,European REACH
1,6502,112,ELINCS,U,Chem Beaumont,North America,,Australian Inventory of chemical Substances
1,6502,113,EINECS,U,Chem Beaumont,North America,,Japanese Existing and New Chemical substances
1,6502,114,KKDIK,U,Chem Beaumont,North America,,Korean Existing Chemicals Inventory
1,6502,116,ENCS,U,Chem Beaumont,North America,,Taiwan Existing and New Chemical Notification
2,4901,90,MSDS,Y,,North America,,MSDS Requirement
2,4901,91,TSCA,Y,,North America,,TSCA Certificate
2,4901,110,CEPAD,U,,North America,,European Inventory of Existing Commercial Chemical
2,4901,111,CEPAN,U,,North America,,European REACH
2,4901,112,ELINCS,U,,North America,,Australian Inventory of chemical Substances
2,4901,113,EINECS,U,,North America,,Japanese Existing and New Chemical substances
2,4901,114,KKDIK,U,,North America,,Korean Existing Chemicals Inventory
2,4901,116,ENCS,U,,North America,,Taiwan Existing and New Chemical Notification
4,6501,90,MSDS,Y,,North America,,MSDS Requirement
4,6501,91,TSCA,Y,,North America,,TSCA Certificate
4,6501,110,CEPAD,U,,North America,,European Inventory of Existing Commercial Chemical
4,6501,111,CEPAN,U,,North America,,European REACH
4,6501,112,ELINCS,U,,North America,,Australian Inventory of chemical Substances
4,6501,113,EINECS,U,,North America,,Japanese Existing and New Chemical substances
4,6501,114,KKDIK,U,,North America,,Korean Existing Chemicals Inventory
4,6501,116,ENCS,U,,North America,,Taiwan Existing and New Chemical Notification
5,1,90,MSDS,Y,,,,MSDS Requirement
5,1,91,TSCA,Y,,,,TSCA Certificate
5,1,110,CEPAD,Y,,,,European Inventory of Existing Commercial Chemical
5,1,111,CEPAN,Y,,,ELINCS not REACH: ,European REACH
5,1,112,ELINCS,Y,,,,Australian Inventory of chemical Substances
5,1,113,EINECS,Y,,,,Japanese Existing and New Chemical substances
5,1,114,KKDIK,Y,,,,Korean Existing Chemicals Inventory
5,1,116,ENCS,Y,,,,Taiwan Existing and New Chemical Notification
7,6621,110,CEPAD,U,Lawton,LA,Material only used in North America,European Inventory of Existing Commercial Chemical
7,6621,110,CEPAD,U,Lawton,North America,Material only used in North America,European Inventory of Existing Commercial Chemical
7,6621,111,CEPAN,U,Lawton,North America,Material only used in North America,European REACH
7,6621,111,CEPAN,U,Lawton,LA,Material only used in North America,European REACH
7,6621,112,ELINCS,U,Lawton,North America,Material only used in North America,Australian Inventory of chemical Substances
7,6621,112,ELINCS,U,Lawton,LA,Material only used in North America,Australian Inventory of chemical Substances
7,6621,113,EINECS,U,Lawton,North America,Material only used in North America,Japanese Existing and New Chemical substances
