PGM_ID,ATTACHMENT_ID,FILE_PATH,CYCLE_ID,SCREEN_SECTION_ID,SCREEN_SECTION,ATT_URL_FLAG
6793,14065,/ttspool/mis/1260184224534_RMI1343 DG-A .xls,0,1003,on click of 'Send Mail Button' available in Auth to trial (SC-RAW),F
6793,14067,/ttspool/mis/1260185647759_RMI1343 DG-B .xls,0,1003,on click of 'Send Mail Button' available in Auth to trial (SC-RAW),F
14078,39601,/ttspool/mis/1316524541120_rmi 1318 dg_a.xls,0,1003,on click of 'Send Mail Button' available in Auth to trial (SC-RAW),F
5,2,/ttspool/mis/1207827404353_Code 1011 rev # 8 proposal 1.doc,1,500,Material Engineer Initial Spec Creation,F
5,32,/ttspool/mis/1207857332771_Doc1.doc,1,506,Supplier Compliant,F
44,45,/ttspool/mis/1207943235020_Jiangsu.Diphenylamine.COA.doc,1,212,COA Received,F
184,201,/ttspool/mis/1208455396834_Magnic MSDS.pdf,1,1010,Attach MSDS,F
1,261,/ttspool/mis/1208801386929_X0005765.CrudeBd.doc,1,226,on click of 'Send Mail' available in the Spec Section,F
1,262,/ttspool/mis/1208807390632_CCO TPC CC4 Spec Summary.xls,1,226,on click of 'Send Mail' available in the Spec Section,F
1,343,/ttspool/mis/1209146075858_X0005765.html,1,223,on click of 'Send Mail Button' available in Add SAP Section,F
181,365,/ttspool/mis/1209390520566_MSDS Leibax Quingdao Tianshi.doc,1,1010,Attach MSDS,F
133,381,/ttspool/mis/1209395236418_MSDS_Shandong Shanxian_Adamax.pdf,1,1010,Attach MSDS,F
429,409,/ttspool/mis/1209483118140_Akrochem (Nubiola) GP58 UM Blue MSDS.pdf,1,1010,Attach MSDS,F
435,414,/ttspool/mis/1209493389931_CohedurD331MSDS.pdf.zip,1,1010,Attach MSDS,F
182,441,/ttspool/mis/1209541801152_MSDS_Louisax ex Lanxess.pdf,1,1010,Attach MSDS,F
178,481,/ttspool/mis/1209581053828_ConvertedFabric_AddendumR2.pdf,1,107,Inputs for generation of experimental code ,F
30,503,/ttspool/mis/1209651005302_Avalon.MSDS.BHT.doc,1,1010,Attach MSDS,F
501,504,/ttspool/mis/1209651174781_Avalon.MSDS.BHT.doc,1,1010,Attach MSDS,F
505,512,/ttspool/mis/1209655143288_AgTax.BEARTAX.MSDS.pdf,1,1010,Attach MSDS,F
506,513,/ttspool/mis/1209655437401_Nanjing.MSDS.TIPA.doc,1,1010,Attach MSDS,F
530,514,/ttspool/mis/1209662613220_bg_stone_white_2.gif,1,290,Inputs for generation of experimental code ,F
531,516,/ttspool/mis/1209670074266_PROCUREMENT PROCESS.doc,1,290,Inputs for generation of experimental code ,F
546,527,/ttspool/mis/1209750419771_MSDS.HF.Anhydrous.pdf,1,1010,Attach MSDS,F
531,529,/ttspool/mis/1209754458478_hiking spree.pdf,1,341,Spec Creation Section,F
432,545,/ttspool/mis/1209999555109_Gum Rosin WW-X MSDS.doc,1,1010,Attach MSDS,F
433,546,/ttspool/mis/1210000397731_COLOPHONY MSDS.doc,1,1010,Attach MSDS,F
529,547,/ttspool/mis/1210001021054_Univar.Gelite.MSDS.pdf,1,1010,Attach MSDS,F
182,561,/ttspool/mis/1210007028303_louisax-o.html,1,77,Final Spec sent to Supplier ?   ,F
438,581,/ttspool/mis/1210015842798_MSDS Zinc Oxide.doc,1,1010,Attach MSDS,F
562,608,/ttspool/mis/1210083181598_droflic.html,1,529,Final Spec sent to Supplier ?   ,F
584,609,/ttspool/mis/1210084240138_MSDS.HF.Anhydrous.pdf,1,1010,Attach MSDS,F
585,610,/ttspool/mis/1210097051943_c228.html,1,77,Final Spec sent to Supplier ?   ,F
1,623,/ttspool/mis/1210099368320_Prebudic Revision 0.doc,1,256,Spec draft Posted,F
642,702,/ttspool/mis/1210247923646_ULTRA-FLEX EPO 33 (preliminary).pdf,1,206,MSDS,F
584,719,/ttspool/mis/1210269429428_Droflic Revision 3.doc,1,77,Final Spec sent to Supplier ?   ,F
661,782,/ttspool/mis/1210690772378_Scorchguard O 1512G MSDS.pdf,1,1010,Attach MSDS,F
661,783,/ttspool/mis/1210690772379_Scorchguard O Technical Data Sheet.pdf,1,1010,Attach MSDS,F
701,785,/ttspool/mis/1210699713581_RHENOGRAN S-80 MSDS.pdf,1,1010,Attach MSDS,F
701,786,/ttspool/mis/1210699713582_RHENOGRAN S-80 Product Data Sheet.pdf,1,1010,Attach MSDS,F
703,805,/ttspool/mis/1210763032462_MSDS MgO I.doc,1,1010,Attach MSDS,F
721,812,/ttspool/mis/1210776423382_X0002767 MSDS.pdf,1,1010,Attach MSDS,F
761,841,/ttspool/mis/1210925518338_MSDS Zinc White Harzsiegel CF soft granulated ex Norzinco.pdf,1,1010,Attach MSDS,F
801,861,/ttspool/mis/1210945800831_MSDS natural rubber all grades.pdf,1,1010,Attach MSDS,F
363,871,/ttspool/mis/1210957431391_New Berolic MSDS.pdf,1,1010,Attach MSDS,F
185,876,/ttspool/mis/1210964780783_NDG Butyl 068 MSDS.doc,1,1010,Attach MSDS,F
867,983,/ttspool/mis/1211217848059_MSDS.pdf,1,1010,Attach MSDS,F
801,1001,/ttspool/mis/1211289743277_Nimbo rev - 4 final spec.doc,1,77,Final Spec sent to Supplier ?   ,F
801,1002,/ttspool/mis/1211289806175_Nimbo rev - 4 final accpt(gocpl).doc,1,76,on click of 'Send Mail' in Final pec accepted by Supplier Section,F
