MATERIAL_GROUP,REVISION_NO,MATERIAL_CODE,MATERIAL_DESC,IS_ACTIVE,SUPPLIER_NAME,PLANT_NAME,CITY,STATE,COUNTRY_NAME,TRADENAME,A_NAME,A_PLANT_NAME,A_CITY,A_STATE,A_COUNTRY_NAME,AGENT_BUILD_BREAK,EXP_CODE,APPROVAL_PROCESS_NAME,CONSOLIDATED_EX_CODE,PGM_ID,PGM_REASON,REQUESTED_BY,ASSIGNED_TO,SUP_STATUS,AGENT_STATUS,SOS_APPROVAL_REGION,APPROVAL_PLANTS,AGENT_APPROVAL_REGION,AGENT_APPROVAL_PLANTS,RESTRICTED_PLANTS
RAW MATERIAL,0,GAZOBINE,Naphthenic,N,QuantiQ,DUQUE DE CAXIAS - RIO DE JANEIRO,DUQUE DE CAXIAS - RIO DE JANEIRO,Others,Brazil,Flex NBS 100,,,,,,,X0004755,NEW MATERIAL,X0004755,29.0,Local source of Morite type oil for Latin America,Bret Marts,Kelley Gallagher,N,,LA,,,,
RAW MATERIAL,4,NIMBO,TSR 10 BLOCK NATURAL RUBBER (NON EUDR),N,ANEKA BUMI PRATAMA,"JAMBI, INDONESIA",JAMBI,Others,Indonesia,TSR 10,GOCPL,SINGAPORE,Singapore,Others,Singapore,,X0006189,NEW SOURCE,X0006189,241.0,"Cost Saving
Alternative source",Lothar Braun,Mustafa Goksoy,Y,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,NIMBO,TSR 10 BLOCK NATURAL RUBBER (NON EUDR),N,INSAN BONAFIDE,KAV,BANJARMASIN,Others,Indonesia,TSR 10,GOCPL,SINGAPORE,Singapore,Others,Singapore,,X0006188,NEW SOURCE,X0006188,262.0,Cost saving and alternative source,Lothar Braun,Mustafa Goksoy,Y,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,NIMBO,TSR 10 BLOCK NATURAL RUBBER (NON EUDR),N,SENG HIN RUBBER,"KEL, MALAYSIA",,KEL,Malaysia,TSR 10,GOCPL,SINGAPORE,Singapore,Others,Singapore,,X0005969,NEW SOURCE,X0005969,265.0,Alternative source for supply assurrance,Lothar Braun,Mustafa Goksoy,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,1,DEERBAX,ALKYLPHENOL DISULFIDE POLYMER WITH 10% STEARIC ACID,Y,ARKEMA,ROTTERDAM,ROTTERDAM,Others,Netherlands,VULTAC TB710,HARWICK STANDARD,Akron,Akron,OH,USA,,,REVISIONS,DEERBAX,281.0,"1-Replaces revision 0, finalized 04-30-07
2-Update description of material
3- Update specific gravity
4-Update age limit wording",Corey Yon,Corey Yon,Y,Y,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,1,DEERBAX,ALKYLPHENOL DISULFIDE POLYMER WITH 10% STEARIC ACID,N,ARKEMA,ROTTERDAM,ROTTERDAM,Others,Netherlands,VULTAC TB710,HARWICK CHEMICAL,Itasca,Itasca,IL,USA,,,REVISIONS,DEERBAX,281.0,"1-Replaces revision 0, finalized 04-30-07
2-Update description of material
3- Update specific gravity
4-Update age limit wording",Corey Yon,Corey Yon,Y,N,"AP, EMEA, LA, NA",,"LA, NA",,
RAW MATERIAL,1,DEERBAX,ALKYLPHENOL DISULFIDE POLYMER WITH 10% STEARIC ACID,N,ARKEMA,ROTTERDAM,ROTTERDAM,Others,Netherlands,VULTAC TB710,SOVEREIGN CHEMICAL,"Akron,OH,USA",Akron,OH,USA,,,REVISIONS,DEERBAX,281.0,"1-Replaces revision 0, finalized 04-30-07
2-Update description of material
3- Update specific gravity
4-Update age limit wording",Corey Yon,Corey Yon,Y,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,0,WBINWH08,White waterbased low viscosity external striping ink,N,APV ENGINEERED COATINGS,Akron,Akron,OH,USA,TL-1352,Isogran,Pluederhausen - Baden-Wuerttemberg,Pluederhausen - Baden-Wuerttemberg,Others,Germany,,X0004921,NEW MATERIAL,X0004921,331.0,Water based striping ink,Ronda Hinterlong,Ronda Hinterlong,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,1,ZENITE,POLYDIMETHYL SILOXANE WATER BASED DISPERSION,N,CHEM TREND,Howell,Howell,MI,USA,Chem-Trend ML-8175,,,,,,,,REVISIONS,ZENITE,428.0,ChemTrend has requested spec change to better reflect material properties,Tom Hoopes,Bernadette Crookston,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,0,CORNICIC,Organoalkoxysilane coupler 100% mercapto,N,MOMENTIVE PERFORMANCE MATERIALS,"Friendly, WV, USA",Friendly,WV,USA,NXT Z 100,,,,,,,X0005069,NEW MATERIAL,X0005069,561.0,New compound for Marc Weydert,Uwe Frank,Claude Schweitzer,N,,EMEA,,,,
