,AP_PGM_ID,PGM_ID,REGION_FOR_SOS_APPROVAL,PROH_PLANT_NAME
0,4,4,NA,
1,29,29,LA,
2,46,46,NA,
3,46,46,LA,
4,46,46,EMEA,
5,46,46,AP,
6,47,47,NA,
7,47,47,LA,
8,47,47,EMEA,
9,47,47,AP,
10,104,104,EMEA,
11,107,107,EMEA,
12,128,128,NA,
13,131,131,NA,
14,143,143,NA,
15,150,150,NA,
16,162,162,NA,
17,170,170,NA,
18,171,171,NA,
19,172,172,NA,
20,173,173,NA,
21,174,174,NA,
22,175,175,NA,
23,176,176,NA,
24,183,183,EMEA,Luxembourg
25,185,185,NA,
26,186,186,NA,
27,201,201,,
28,241,241,EMEA,
29,262,262,EMEA,
30,265,265,EMEA,
31,281,281,,
32,282,282,NA,
33,282,282,LA,
34,282,282,EMEA,
35,282,282,AP,
36,321,321,EMEA,
37,322,322,EMEA,
38,325,325,EMEA,
39,331,331,NA,
40,331,331,LA,
41,331,331,EMEA,
42,331,331,AP,
43,338,338,NA,
44,402,402,NA,
45,423,423,,
46,426,426,,
47,428,428,,
48,434,434,,
49,438,438,NA,
50,438,438,LA,
51,438,438,EMEA,
52,438,438,AP,
53,442,442,,
54,464,464,EMEA,
55,465,465,EMEA,
56,466,466,EMEA,
57,523,523,NA,
58,524,524,NA,
59,543,543,NA,
60,545,545,NA,
61,561,561,EMEA,
62,563,563,,
63,5,5,,
64,8,8,NA,
65,8,8,LA,
66,8,8,EMEA,
67,8,8,AP,
68,22,22,NA,
69,22,22,LA,
70,22,22,EMEA,South Africa
71,22,22,AP,
74,22,22,EMEA,
75,22,22,AP,Thailand
79,22,22,AP,Indonesia
82,22,22,EMEA,Melksham
84,25,25,NA,
85,25,25,LA,
86,25,25,EMEA,
87,25,25,AP,
88,31,31,NA,
89,61,61,NA,
90,81,81,NA,
91,82,82,EMEA,
92,101,101,NA,
93,103,103,EMEA,
94,123,123,EMEA,
95,146,146,NA,
96,147,147,NA,
97,168,168,NA,
98,177,177,NA,
99,178,178,AP,
100,179,179,AP,
101,180,180,,
102,187,187,NA,
103,326,326,EMEA,
104,334,334,NA,
105,334,334,LA,
106,334,334,EMEA,
107,334,334,AP,
108,335,335,NA,
109,335,335,LA,
110,335,335,EMEA,
111,335,335,AP,
112,336,336,NA,
113,341,341,,
114,361,361,NA,
115,361,361,LA,
116,361,361,EMEA,
117,361,361,AP,
118,381,381,NA,
119,381,381,LA,
120,381,381,EMEA,
121,381,381,AP,
122,424,424,,
123,427,427,,
124,430,430,,
125,444,444,,
126,448,448,,
127,462,462,EMEA,
128,467,467,EMEA,
129,502,502,NA,Chem Bayport
130,505,505,NA,Chem Houston
131,530,530,NA,
132,546,546,NA,Chem Beaumont
133,562,562,,
134,601,601,NA,
135,602,602,NA,
136,603,603,NA,
137,605,605,NA,
138,643,643,NA,Topeka
139,643,643,AP,
140,643,643,NA,
141,643,643,AP,Nippon Giant
142,6,6,NA,
143,26,26,NA,Chem Beaumont
144,30,30,NA,Chem Bayport
145,30,30,NA,Chem Beaumont
146,30,30,NA,Chem Houston
147,30,30,NA,Chem Niagara Falls
148,32,32,NA,
149,102,102,NA,
150,102,102,LA,
151,102,102,EMEA,
152,102,102,AP,
153,108,108,EMEA,
154,121,121,EMEA,
155,124,124,EMEA,
156,126,126,EMEA,
157,132,132,NA,
158,132,132,LA,
159,132,132,EMEA,
160,132,132,AP,
161,133,133,EMEA,
162,141,141,NA,
163,142,142,NA,
164,144,144,NA,
165,148,148,NA,
166,149,149,NA,
167,161,161,NA,
168,165,165,NA,
169,167,167,NA,
170,169,169,NA,
171,221,221,,
172,263,263,EMEA,
173,264,264,EMEA,
174,266,266,EMEA,
175,329,329,EMEA,
176,332,332,NA,
177,332,332,LA,
178,332,332,EMEA,
179,332,332,AP,
180,401,401,NA,
181,401,401,LA,
182,401,401,EMEA,
183,401,401,AP,
184,421,421,,
185,429,429,NA,
186,432,432,NA,
187,432,432,LA,
188,432,432,EMEA,
189,432,432,AP,
190,433,433,LA,Americana
191,435,435,NA,
192,435,435,LA,
193,435,435,EMEA,
194,435,435,AP,
195,436,436,,
196,443,443,,
197,445,445,,
198,447,447,,
199,501,501,NA,
200,506,506,NA,Chem Beaumont
201,521,521,NA,
202,525,525,NA,
203,527,527,NA,
204,528,528,NA,
205,541,541,,
206,581,581,NA,
207,581,581,LA,
208,581,581,EMEA,
209,581,581,AP,
210,582,582,NA,
211,582,582,LA,
212,582,582,EMEA,
213,582,582,AP,
214,583,583,NA,
215,583,583,LA,
216,583,583,EMEA,
217,583,583,AP,
218,1,1,NA,
219,2,2,NA,
220,33,33,NA,
221,34,34,EMEA,
222,35,36,NA,
223,42,42,NA,
224,43,43,NA,
225,44,44,NA,
226,45,45,NA,
227,45,45,LA,
228,45,45,EMEA,
229,45,45,AP,
230,105,105,EMEA,
231,106,106,EMEA,
232,122,122,EMEA,
233,125,125,EMEA,
234,127,127,NA,
235,129,129,NA,
236,130,130,NA,
237,145,145,NA,
238,164,164,NA,
239,182,182,NA,
240,182,182,LA,
241,182,182,EMEA,
242,182,182,AP,
243,184,184,NA,
244,242,242,EMEA,
245,243,243,EMEA,
246,244,244,EMEA,
247,261,261,EMEA,
248,323,323,EMEA,
249,324,324,EMEA,
250,330,330,NA,
251,337,337,NA,
252,337,337,LA,
253,337,337,EMEA,
254,337,337,AP,
255,362,362,NA,
256,362,362,LA,
257,362,362,EMEA,
258,362,362,AP,
259,363,363,NA,
260,364,364,NA,
261,364,364,LA,
262,364,364,EMEA,
263,364,364,AP,
264,422,422,,
265,431,431,,
266,437,437,,
267,441,441,,
268,446,446,,
269,461,461,EMEA,
270,503,503,NA,
271,504,504,NA,
272,522,522,NA,
273,531,531,NA,
274,544,544,EMEA,
275,547,547,NA,
276,548,548,NA,
277,550,550,NA,
278,584,584,NA,
279,604,604,NA,
280,607,607,NA,
281,608,608,NA,
282,3,3,LA,
283,7,7,NA,
284,7,7,LA,
285,21,21,NA,
286,23,23,,
287,27,27,NA,
288,27,27,LA,
289,27,27,EMEA,
290,27,27,AP,
291,36,38,EMEA,
292,37,39,NA,
293,41,41,NA,
294,41,41,LA,
295,41,41,EMEA,
296,41,41,AP,
297,163,163,NA,
298,166,166,NA,
299,181,181,AP,
300,301,301,NA,
301,301,301,LA,
302,302,302,EMEA,
303,327,327,EMEA,
304,328,328,EMEA,
305,333,333,NA,
306,425,425,,
307,439,439,,
308,440,440,NA,
309,449,449,,
310,463,463,EMEA,
311,481,481,NA,Union City
312,526,526,NA,
313,529,529,NA,
314,542,542,NA,
315,549,549,NA,
316,585,585,NA,
317,585,585,LA,
318,585,585,EMEA,
319,585,585,AP,
320,606,606,NA,
321,609,609,NA,
322,610,610,NA,
323,611,611,NA,
324,612,612,NA,
325,621,621,NA,
326,641,641,NA,
327,641,641,LA,
328,641,641,EMEA,
329,641,641,AP,
330,642,642,EMEA,
331,644,644,NA,
332,644,644,LA,
333,644,644,EMEA,
334,644,644,AP,
335,645,645,NA,
336,645,645,LA,
337,645,645,EMEA,
338,645,645,AP,
339,646,646,NA,
340,646,646,LA,
341,646,646,EMEA,
342,646,646,AP,
343,647,647,NA,
344,647,647,LA,
345,647,647,EMEA,
346,647,647,AP,
347,648,648,NA,
348,648,648,LA,
349,648,648,EMEA,
350,648,648,AP,
351,649,649,NA,
352,649,649,LA,
353,649,649,EMEA,
354,649,649,AP,
355,650,650,,
356,651,651,NA,
357,661,661,NA,Buffalo / Tonawanda
358,662,662,NA,
359,662,662,LA,
360,662,662,EMEA,
361,662,662,AP,
362,681,681,NA,
363,682,682,NA,
364,683,683,NA,
