MATERIAL_GROUP,REVISION_NO,MATERIAL_CODE,MATERIAL_DESC,IS_ACTIVE,SUPPLIER_NAME,PLANT_NAME,CITY,STATE,COUNTRY_NAME,TRADENAME,A_NAME,A_PLANT_NAME,A_CITY,A_STATE,A_COUNTRY_NAME,AGENT_BUILD_BREAK,EXP_CODE,APPROVAL_PROCESS_NAME,CONSOLIDATED_EX_CODE,PGM_ID,PGM_REASON,REQUESTED_BY,ASSIGNED_TO,SUP_STATUS,AGENT_STATUS,SOS_APPROVAL_REGION,APPROVAL_PLANTS,AGENT_APPROVAL_REGION,AGENT_APPROVAL_PLANTS,RESTRICTED_PLANTS,sis_Supplier,sis_Plant,City MIS_x,sis_SIS_Plant_code,Supplier Opcenter_x,Plant Opcenter_x,Plant city_x,Plant state_x,Plant country_x,Active_x,sis_Agent,sis_A_Plant,City MIS_y,sis_Agent_Plant_code,Supplier Opcenter_y,Plant Opcenter_y,Plant city_y,Plant state_y,Plant country_y,Active_y
REINFORCEMENT,1,RFS04T,"1100 DECITEX (990 DENIER) HMLS POLYESTER
	",Y,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,HSP-40,,,,,,,Y00025,NEW SOURCE,,31.0,Cost Savings,Gary Platz,Michael Putinski,Y,,"AP, LA, NA",,,,,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
REINFORCEMENT,1,RFS01Q,1100 DECITEX AA HMLS POLYESTER,Y,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,HSP-40,,,,,,,Y00028,NEW SOURCE,,605.0,Cost Savings,Gary Platz,Michael Putinski,Y,,"AP, EMEA, LA, NA",,,,,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
REINFORCEMENT,1,RFEP,7X(3+9+15X.245)+1 HT,N,KAM - STEEL CORD,CHANGWON,Changwon,Others,South Korea,F501EP,,,,,,,S00002,NEW SOURCE,,643.0,"Flexibility, Cost",Rob Wyszynski,Rob Wyszynski,N,,"AP, NA","Nippon Giant, Topeka",,,"Nippon Giant, Topeka",KAM - Steel Cord,"Changwon, South Korea (S)",Changwon,,KAM - STEEL CORD,CHANGWON,CHANGWON,OTHERS,SOUTH KOREA,No,,,,,,,,,,
REINFORCEMENT,1,RFS04TH28HA,1100 DECITEX HMLS POLYESTER,N,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,HSP-40,,,,,,,Y00026,NEW SOURCE,,32.0,Cost Savings,Gary Platz,Michael Putinski,N,,NA,,,,,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
REINFORCEMENT,1,RFS06T,2200 DECITEX HMLS POLYESTER,Y,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,HSP-40,,,,,,,Y00027,NEW SOURCE,,33.0,Cost Savings,Maureen DeSanzo,Michael Putinski,Y,,NA,,,,,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
REINFORCEMENT,1,RFKARENTEST1,test spec,N,HYOSUNG CORPORATION,DECATUR,Decatur,AL,USA,KARENTEST,,,,,,,Q00001,NEW MATERIAL,,531.0,to write help screens,Karen Manbeck,Karen Manbeck,N,,NA,,,,,HYOSUNG CORPORATION,"Decatur, AL, USA",Decatur,AIT,HYOSUNG CORPORATION,DECATUR,DECATUR,AL,USA,Yes,,,,,,,,,,
REINFORCEMENT,1,RFRY28SL,Rayon 1840/1/2 10.4/10.4 TPI 28 EPI SL,Y,SHRIRAM RAYON,KOTA,KOTA,Others,India,I06RY28SL,,,,,,,GTC1192SL,NEW SOURCE,,544.0,Cost Savings & Regional Source,Julia Tahon,Julie Vanderhaeghen,Y,,"AP, EMEA",,,,,SHRIRAM RAYON,"KOTA, RAJASTHAN, INDIA",KOTA,BVS,SHRIRAM RAYON,KOTA,KOTA,OTHERS,INDIA,Yes,,,,,,,,,,
REINFORCEMENT,1,RFS02T,1670 DECITEX HMLS POLYESTER,Y,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,HSP-40,,,,,,,Y00024,NEW SOURCE,,21.0,Cost Savings,Gary Platz,Michael Putinski,Y,,NA,,,,,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
REINFORCEMENT,1,RFS04Q,1670 DECITEX AA-HMLS POLYESTER,N,HYOSUNG CORPORATION,DONG NAI,Dong Nai,Others,Vietnam,D793,,,,,,,Y00029,NEW SOURCE,,606.0,Cost Savings - Hysoung Vietnam Approval,Maureen DeSanzo,Michael Putinski,N,,NA,,,,,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,JPK,HYOSUNG CORPORATION,DONG NAI,DONG NAI,OTHERS,VIETNAM,Yes,,,,,,,,,,
REINFORCEMENT,1,RFI16L,1400 DECITEX NYLON 6,Y,SRF,MANALI,MANALI,Others,India,C 781 S1,,,,,,,Y00038,NEW SOURCE,,1581.0,Supply Flexibility, ,Ken Kot,Y,,AP,,,,,SRF,"MANALI, CHENNAI, INDIA",MANALI,JDD,SRF,MANALI,MANALI,OTHERS,INDIA,Yes,,,,,,,,,,
